service,entity_set,count,elapsed_s
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,1556,0.2
ZVZI_KPI02_SHARED_SRV,GoodsMovementItemSet,68616,1.1
ZVZI_KPI02_SHARED_SRV,InfoRecordSet,552,0.1
ZVZI_KPI02_SHARED_SRV,InfoRecordOrgSet,587,0.1
ZVZI_KPI02_SHARED_SRV,PurchaseOrderSet,3134,0.2
ZVZI_KPI02_SHARED_SRV,PurchaseOrderItemSet,11091,0.2
ZVZI_KPI02_SHARED_SRV,VendorSet,227,0.1
ZVZI_KPI02_SHARED_SRV,MaterialDescriptionSet,2042,0.1
ZVZI_KPI02_SHARED_SRV,MaterialSet,2040,0.1
ZVZI_KPI02_SHARED_SRV,MaterialPlantSet,2183,0.1
ZVZI_KPI02_SHARED_SRV,StorageLocationStockSet,2303,0.1
ZVZI_KPI02_SHARED_SRV,MaterialDocumentHeaderSet,40649,0.3
ZVZI_KPI02_SHARED_SRV,POScheduleLineSet,3625,0.1
ZVZI_KPI02_SHARED_SRV,POHistorySet,3878,0.2
ZMM_KPI02_SRV,ReservationItemSet,1000,0.2
ZMM_KPI02_SRV,MaterialValuationSet,HTTP 400,0.8
ZMM_KPI02_SRV,ChangeDocHeaderSet,HTTP 400,0.8
ZMM_KPI02_SRV,ChangeDocItemSet,HTTP 400,0.8
ZMM_KPI02_SRV,BatchStockSet,HTTP 400,0.8
ZMM_KPI02_SRV,MonthlyMovementStatisticSet,HTTP 400,0.8
ZMM_KPI02_SRV,StockMovementStatisticSet,1484,0.2
