service,entity_set,entity_type,keys,property_count,sap_pageable
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,PurchaseRequisition,Banfn;Bnfpo,29,false
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,GoodsMovementItem,Mblnr;Mjahr;Zeile,26,false
ZMM_KPI02_ADD_SRV,InfoRecordSet,InfoRecord,Infnr,4,false
ZMM_KPI02_ADD_SRV,InfoRecordOrgSet,InfoRecordOrg,Ekorg;Esokz;Infnr,10,false
ZMM_KPI02_ADD_SRV,PurchaseOrderSet,PurchaseOrder,Ebeln,8,false
ZMM_KPI02_ADD_SRV,PurchaseOrderItemSet,PurchaseOrderItem,Ebeln;Ebelp,20,false
ZMM_KPI02_ADD_SRV,VendorSet,Vendor,Lifnr,4,false
ZMM_KPI02_ADD_SRV,MaterialDescriptionSet,MaterialDescription,Matnr;Spras,3,false
ZMM_KPI02_ADD_SRV,MaterialSet,Material,Matnr,8,false
ZMM_KPI02_ADD_SRV,MaterialPlantSet,MaterialPlant,Matnr;Werks,12,false
ZMM_KPI02_ADD_SRV,StorageLocationStockSet,StorageLocationStock,Lgort;Matnr;Werks,7,false
ZMM_KPI02_ADD_SRV,MaterialDocumentHeaderSet,MaterialDocumentHeader,Mblnr;Mjahr,5,false
ZMM_KPI02_ADD_SRV,POScheduleLineSet,POScheduleLine,Ebeln;Ebelp;Etenr,6,false
ZMM_KPI02_ADD_SRV,POHistorySet,POHistory,Belnr;Buzei;Ebeln;Ebelp;Gjahr;Vgabe;Zekkn,16,false
ZMM_KPI02_TAB_SRV,ReservationItemSet,ReservationItem,Rsnum;Rspos,22,false
ZMM_KPI02_TAB_SRV,MaterialValuationSet,MaterialValuation,Bwkey;Matnr,10,false
ZMM_KPI02_TAB_SRV,ChangeDocHeaderSet,ChangeDocHeader,Changenr;Objectclas;Objectid,7,false
ZMM_KPI02_TAB_SRV,ChangeDocItemSet,ChangeDocItem,Changenr;Chngind;Fname;Objectclas;Objectid;Tabkey;Tabname,9,false
ZMM_KPI02_TAB_SRV,BatchStockSet,BatchStock,Charg;Lgort;Matnr;Werks,5,false
ZMM_KPI02_TAB_SRV,MonthlyMovementStatisticSet,MonthlyMovementStatistic,Lgort;Matnr;Spmon;Werks,12,false
ZMM_KPI02_TAB_SRV,StockMovementStatisticSet,StockMovementStatistic,Lgort;Matnr;Werks,14,false
