service,entity_set,property,type,set_total,count_with_impossible_filter,verdict
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Banfn,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Bnfpo,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Bsart,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Loekz,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Statu,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Frgkz,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Frgzu,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Ekgrp,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Ernam,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Afnam,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Txz01,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Matnr,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Werks,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Lgort,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Bednr,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Matkl,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Reswk,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Menge,Edm.String,1569,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Meins,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Badat,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Lfdat,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Preis,Edm.String,1569,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Peinh,Edm.String,1569,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Flief,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Ebeln,Edm.String,1569,0,HONOURED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Ebelp,Edm.String,1569,983,PARTIAL_OR_ODD
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Bsmng,Edm.String,1569,,REJECTED_HTTP_500
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Ebakz,Edm.Boolean,1569,,NOT_TESTED
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Rsnum,Edm.String,1569,1513,PARTIAL_OR_ODD
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Mblnr,Edm.String,68618,0,HONOURED
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Mjahr,Edm.String,68618,0,HONOURED
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Zeile,Edm.String,68618,0,HONOURED
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Bwart,Edm.String,68618,0,HONOURED
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Matnr,Edm.String,68618,0,HONOURED
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Werks,Edm.String,68618,0,HONOURED
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Lgort,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Sobkz,Edm.String,68618,0,HONOURED
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Lifnr,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Shkzg,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Dmbtr,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Menge,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Meins,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Ebeln,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Ebelp,Edm.String,68618,,REJECTED_HTTP_400
ZMM_KPI02_ADD_SRV,GoodsMovementItemSet,Sgtxt,Edm.String,68618,,REJECTED_HTTP_400
