service,entity_set,property,type,nullable,is_key,maxlength,precision,scale,sap_filterable,sap_sortable,sap_label
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Banfn,Edm.String,false,K,10,,,false,false,Purchase Req.
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Bnfpo,Edm.String,false,K,5,,,false,false,Requisn Item
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Bsart,Edm.String,false,,4,,,false,false,Document Type
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Loekz,Edm.String,false,,1,,,false,false,Deletion Ind.
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Statu,Edm.String,false,,1,,,false,false,Processing stat
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Frgkz,Edm.String,false,,1,,,false,false,Release ind.
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Frgzu,Edm.String,false,,8,,,false,false,Release status
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Ekgrp,Edm.String,false,,3,,,false,false,Purch. Group
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Ernam,Edm.String,false,,12,,,false,false,Created by
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Afnam,Edm.String,false,,12,,,false,false,Requisitioner
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Txz01,Edm.String,false,,40,,,false,false,Short Text
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Matnr,Edm.String,false,,18,,,false,false,Material
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Werks,Edm.String,false,,4,,,false,false,Plant
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Lgort,Edm.String,false,,4,,,false,false,Stor. Location
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Bednr,Edm.String,false,,10,,,false,false,Tracking Number
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Matkl,Edm.String,false,,9,,,false,false,Material Group
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Reswk,Edm.String,false,,4,,,false,false,Supplying Plant
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Menge,Edm.String,false,,20,,,false,false,Quantity
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Meins,Edm.String,false,,3,,,false,false,Unit of Measure
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Badat,Edm.String,false,,10,,,false,false,Requisn Date
ZMM_KPI02_ADD_SRV,PurchaseRequisitionSet,Lfdat,Edm.String,false,,10,,,false,false,Delivery Date
