service,entity_set,field,value,count,pct_of_scanned_total
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Dismm,(blank),1023,46.9%
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Dismm,PD,827,37.9%
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Dismm,ND,184,8.4%
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Dismm,V1,78,3.6%
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Dismm,VB,45,2.1%
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Dismm,M0,13,0.6%
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Dismm,VM,7,0.3%
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Dismm,RP,3,0.1%
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Dismm,V2,1,0.0%
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Dismm,VH,1,0.0%
ZMM_KPI02_ADD_SRV,MaterialPlantSet,Dismm,VI,1,0.0%
