plan_id,session_id,Rsnum,Rspos,Matnr,Werks,requester,purpose,planned_quantity,planned_use_date,status
PLAN-000001,SESS-000001,1000000000,0001,000000000030000000,4000,VZIREQ01,Breakdown replacement,2.000,2026-03-10,OPEN
PLAN-000002,SESS-000002,1000000001,0001,000000000030000000,4000,VZIREQ05,Condition monitoring intervention,4.000,2026-07-09,CLOSED
PLAN-000003,SESS-000003,1000000002,0001,000000000030000000,4000,VZIREQ02,Breakdown replacement,4.000,2025-12-22,OPEN
PLAN-000004,SESS-000004,1000000003,0001,000000000030000000,1000,VZIREQ02,Reliability improvement upgrade,3.000,2026-06-24,CLOSED
PLAN-000005,SESS-000005,1000000004,0001,000000000030000001,1000,VZIREQ04,Breakdown replacement,2.000,2026-03-05,CLOSED
PLAN-000006,SESS-000006,1000000005,0001,000000000030000001,1000,VZIREQ02,Condition monitoring intervention,3.000,2025-12-12,CLOSED
PLAN-000007,SESS-000007,1000000006,0001,000000000030000002,3000,VZIREQ05,Reliability improvement upgrade,4.000,2025-12-08,OPEN
PLAN-000008,SESS-000008,1000000007,0001,000000000030000002,3000,VZIREQ03,Reliability improvement upgrade,4.000,2026-01-25,CLOSED
PLAN-000009,SESS-000009,1000000008,0001,000000000030000002,3000,VZIREQ04,Breakdown replacement,4.000,2026-02-18,CLOSED
PLAN-000010,SESS-000010,1000000009,0001,000000000030000003,4000,VZIREQ03,Statutory inspection rebuild,3.000,2025-12-06,CLOSED
PLAN-000011,SESS-000011,1000000010,0001,000000000030000003,1000,VZIREQ01,Statutory inspection rebuild,4.000,2026-07-06,OPEN
PLAN-000012,SESS-000012,1000000011,0001,000000000030000003,1000,VZIREQ01,Capital project spare,2.000,2026-01-17,CLOSED
PLAN-000013,SESS-000013,1000000012,0001,000000000030000003,1000,VZIREQ01,Reliability improvement upgrade,1.000,2026-06-07,OPEN
PLAN-000014,SESS-000014,1000000013,0001,000000000030000004,4000,VZIREQ05,Statutory inspection rebuild,4.000,2025-11-27,CLOSED
PLAN-000015,SESS-000015,1000000014,0001,000000000030000004,4000,VZIREQ02,Breakdown replacement,2.000,2026-04-20,CLOSED
PLAN-000016,SESS-000016,1000000015,0001,000000000030000004,4000,VZIREQ03,Capital project spare,3.000,2026-07-24,OPEN
PLAN-000017,SESS-000017,1000000016,0001,000000000030000005,3000,VZIREQ01,Planned shutdown replacement,2.000,2026-05-14,OPEN
PLAN-000018,SESS-000018,1000000017,0001,000000000030000005,3000,VZIREQ05,Capital project spare,1.000,2026-06-08,OPEN
PLAN-000019,SESS-000019,1000000018,0001,000000000030000006,2000,VZIREQ03,Breakdown replacement,1.000,2026-08-11,OPEN
PLAN-000020,SESS-000020,1000000019,0001,000000000030000007,1000,VZIREQ02,Statutory inspection rebuild,3.000,2026-06-11,CLOSED
PLAN-000021,SESS-000021,1000000020,0001,000000000030000007,1000,VZIREQ05,Capital project spare,2.000,2026-05-15,CLOSED
PLAN-000022,SESS-000022,1000000021,0001,000000000030000007,1000,VZIREQ03,Planned shutdown replacement,1.000,2025-11-07,CLOSED
PLAN-000023,SESS-000023,1000000022,0001,000000000030000008,3000,VZIREQ05,Capital project spare,1.000,2025-12-13,CLOSED
PLAN-000024,SESS-000024,1000000023,0001,000000000030000008,3000,VZIREQ02,Capital project spare,4.000,2026-06-04,CLOSED
PLAN-000025,SESS-000025,1000000024,0001,000000000030000009,3000,VZIREQ05,Planned shutdown replacement,2.000,2026-03-31,CLOSED
PLAN-000026,SESS-000026,1000000025,0001,000000000030000009,3000,VZIREQ02,Reliability improvement upgrade,2.000,2025-11-30,OPEN
PLAN-000027,SESS-000027,1000000026,0001,000000000030000009,3000,VZIREQ05,Capital project spare,3.000,2026-09-13,OPEN
PLAN-000028,SESS-000028,1000000027,0001,000000000030000010,4000,VZIREQ03,Breakdown replacement,2.000,2026-01-29,OPEN
PLAN-000029,SESS-000029,1000000028,0001,000000000030000010,4000,VZIREQ02,Capital project spare,4.000,2026-08-12,OPEN
PLAN-000030,SESS-000030,1000000029,0001,000000000030000011,1000,VZIREQ01,Statutory inspection rebuild,1.000,2026-07-14,OPEN
PLAN-000031,SESS-000031,1000000030,0001,000000000030000011,1000,VZIREQ01,Capital project spare,2.000,2026-03-16,CLOSED
PLAN-000032,SESS-000032,1000000031,0001,000000000030000011,1000,VZIREQ01,Capital project spare,4.000,2026-05-23,OPEN
PLAN-000033,SESS-000033,1000000032,0001,000000000030000011,3000,VZIREQ03,Condition monitoring intervention,3.000,2026-02-25,CLOSED
PLAN-000034,SESS-000034,1000000033,0001,000000000030000011,3000,VZIREQ01,Statutory inspection rebuild,4.000,2026-01-02,CLOSED
PLAN-000035,SESS-000035,1000000034,0001,000000000030000011,3000,VZIREQ02,Planned shutdown replacement,2.000,2026-07-01,CLOSED
PLAN-000036,SESS-000036,1000000035,0001,000000000030000012,3000,VZIREQ02,Condition monitoring intervention,1.000,2026-07-17,CLOSED
PLAN-000037,SESS-000037,1000000036,0001,000000000030000012,3000,VZIREQ05,Statutory inspection rebuild,4.000,2026-01-24,CLOSED
PLAN-000038,SESS-000038,1000000037,0001,000000000030000013,2000,VZIREQ03,Reliability improvement upgrade,2.000,2026-03-16,CLOSED
PLAN-000039,SESS-000039,1000000038,0001,000000000030000014,1000,VZIREQ01,Planned shutdown replacement,1.000,2025-12-08,CLOSED
PLAN-000040,SESS-000040,1000000039,0001,000000000030000014,1000,VZIREQ04,Condition monitoring intervention,1.000,2026-05-25,OPEN
PLAN-000041,SESS-000041,1000000041,0001,000000000030000015,3000,VZIREQ02,Reliability improvement upgrade,1.000,2026-04-12,CLOSED
PLAN-000042,SESS-000042,1000000042,0001,000000000030000015,3000,VZIREQ03,Planned shutdown replacement,3.000,2026-03-04,CLOSED
PLAN-000043,SESS-000043,1000000043,0001,000000000030000016,3000,VZIREQ05,Reliability improvement upgrade,3.000,2026-06-12,CLOSED
PLAN-000044,SESS-000044,1000000045,0001,000000000030000016,1000,VZIREQ04,Reliability improvement upgrade,2.000,2026-07-07,OPEN
PLAN-000045,SESS-000045,1000000046,0001,000000000030000016,1000,VZIREQ05,Reliability improvement upgrade,3.000,2026-06-08,OPEN
PLAN-000046,SESS-000046,1000000047,0001,000000000030000017,3000,VZIREQ01,Planned shutdown replacement,2.000,2026-08-07,CLOSED
PLAN-000047,SESS-000047,1000000048,0001,000000000030000018,4000,VZIREQ01,Statutory inspection rebuild,3.000,2026-06-07,OPEN
PLAN-000048,SESS-000048,1000000049,0001,000000000030000019,1000,VZIREQ05,Planned shutdown replacement,1.000,2026-02-18,CLOSED
