Rsnum,Rspos,Matnr,Werks,status,confirmed_used,confirmation_date,replanned_date,reason
1000000000,0001,000000000030000000,4000,AWAITING_USE,false,,,
1000000001,0001,000000000030000000,4000,USED,true,2026-07-28,,
1000000002,0001,000000000030000000,4000,AWAITING_USE,false,,,
1000000003,0001,000000000030000000,1000,PARTIALLY_USED,true,2026-06-30,,
1000000004,0001,000000000030000001,1000,USED,true,2026-04-16,,
1000000005,0001,000000000030000001,1000,PARTIALLY_USED,true,2025-11-27,,
1000000006,0001,000000000030000002,3000,AWAITING_USE,false,,,
1000000007,0001,000000000030000002,3000,PARTIALLY_USED,true,2026-03-08,,
1000000008,0001,000000000030000002,3000,USED,true,2026-02-21,,
1000000009,0001,000000000030000003,4000,AWAITING_PURCHASE_ORDER,false,,,
1000000010,0001,000000000030000003,1000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000011,0001,000000000030000003,1000,AWAITING_PURCHASE_ORDER,false,,,
1000000012,0001,000000000030000003,1000,AWAITING_USE,false,,,
1000000013,0001,000000000030000004,4000,PARTIALLY_USED,true,2026-01-02,,
1000000014,0001,000000000030000004,4000,AWAITING_PURCHASE_ORDER,false,,,
1000000015,0001,000000000030000004,4000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000016,0001,000000000030000005,3000,OVERDUE_USE,false,,,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000017,0001,000000000030000005,3000,OVERDUE_USE,false,,2026-10-06,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000018,0001,000000000030000006,2000,OVERDUE_USE,false,,2026-10-07,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000019,0001,000000000030000007,1000,PARTIALLY_USED,true,2026-07-16,,
1000000020,0001,000000000030000007,1000,USED,true,2026-05-31,,
1000000021,0001,000000000030000007,1000,USED,true,2025-11-30,,
1000000022,0001,000000000030000008,3000,AWAITING_PURCHASE_ORDER,false,,,
1000000023,0001,000000000030000008,3000,PARTIALLY_USED,true,2026-06-13,,
1000000024,0001,000000000030000009,3000,USED,true,2026-03-08,,
1000000025,0001,000000000030000009,3000,AWAITING_USE,false,,,
1000000026,0001,000000000030000009,3000,AWAITING_USE,false,,,
1000000027,0001,000000000030000010,4000,AWAITING_USE,false,,,
1000000028,0001,000000000030000010,4000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000029,0001,000000000030000011,1000,OVERDUE_USE,false,,2026-09-16,EQUIPMENT_STILL_IN_SERVICE
1000000030,0001,000000000030000011,1000,PARTIALLY_USED,true,2026-03-28,,
1000000031,0001,000000000030000011,1000,OVERDUE_USE,false,,2026-09-02,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000032,0001,000000000030000011,3000,USED,true,2026-04-29,,
1000000033,0001,000000000030000011,3000,USED,true,2026-01-19,,
1000000034,0001,000000000030000011,3000,USED,true,2026-07-25,,
1000000035,0001,000000000030000012,3000,USED,true,2026-07-06,,
1000000036,0001,000000000030000012,3000,USED,true,2026-02-05,,
1000000037,0001,000000000030000013,2000,USED,true,2026-03-07,,
1000000038,0001,000000000030000014,1000,USED,true,2025-12-31,,
1000000039,0001,000000000030000014,1000,AWAITING_USE,false,,,
1000000040,0001,000000000030000014,1000,USED,true,2026-05-14,,
1000000041,0001,000000000030000015,3000,USED,true,2026-04-17,,
1000000042,0001,000000000030000015,3000,USED,true,2026-04-18,,
1000000043,0001,000000000030000016,3000,USED,true,2026-06-23,,
1000000044,0001,000000000030000016,1000,USED,true,2026-02-18,,
1000000045,0001,000000000030000016,1000,OVERDUE_USE,false,,2026-09-20,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
1000000046,0001,000000000030000016,1000,AWAITING_USE,false,,,
1000000047,0001,000000000030000017,3000,USED,true,2026-08-20,,
1000000048,0001,000000000030000018,4000,OVERDUE_USE,false,,,SHUTDOWN_DEFERRED_TO_NEXT_WINDOW
1000000049,0001,000000000030000019,1000,USED,true,2026-03-09,,
1000000050,0001,000000000030000019,3000,PARTIALLY_USED,true,2026-05-22,,
1000000051,0001,000000000030000020,2000,USED,true,2026-06-30,,
1000000052,0001,000000000030000021,1000,USED,true,2026-08-18,,
1000000053,0001,000000000030000021,1000,PARTIALLY_USED,true,2026-09-03,,
1000000054,0001,000000000030000021,1000,AWAITING_USE,false,,,
1000000055,0001,000000000030000021,4000,AWAITING_USE,false,,,
1000000056,0001,000000000030000021,4000,OVERDUE_USE,false,,,EQUIPMENT_STILL_IN_SERVICE
1000000057,0001,000000000030000022,4000,OVERDUE_USE,false,,,EQUIPMENT_STILL_IN_SERVICE
1000000058,0001,000000000030000022,1000,AWAITING_USE,false,,,
1000000059,0001,000000000030000022,1000,PARTIALLY_USED,true,2026-08-30,,
1000000060,0001,000000000030000022,1000,USED,true,2026-02-07,,
1000000061,0001,000000000030000023,1000,USED,true,2026-05-03,,
1000000062,0001,000000000030000023,1000,AWAITING_USE,false,,,
1000000063,0001,000000000030000024,1000,PARTIALLY_USED,true,2026-01-28,,
1000000064,0001,000000000030000025,3000,AWAITING_PURCHASE_ORDER,false,,,
1000000065,0001,000000000030000025,3000,AWAITING_PURCHASE_ORDER,false,,,
1000000066,0001,000000000030000025,3000,AWAITING_USE,false,,,
1000000067,0001,000000000030000026,3000,AWAITING_USE,false,,,
1000000068,0001,000000000030000027,2000,AWAITING_USE,false,,,
1000000069,0001,000000000030000027,4000,USED,true,2026-07-16,,
1000000070,0001,000000000030000027,4000,USED,true,2026-08-07,,
1000000071,0001,000000000030000028,1000,USED,true,2026-03-29,,
1000000072,0001,000000000030000028,4000,AWAITING_USE,false,,,
1000000073,0001,000000000030000028,4000,USED,true,2026-06-10,,
1000000074,0001,000000000030000028,4000,OVERDUE_USE,false,,,SCOPE_CANCELLED_UNIT_HELD_AS_SPARE
