Matnr,Werks,Lgort,Charg,Clabs
000000000010000000,1000,SP01,6000000000,6.060
000000000010000000,1000,SP01,6000000001,95.451
000000000010000000,1000,SP01,6000000002,5.489
000000000010000001,1000,SP01,6000000003,32.000
000000000010000001,2000,SP02,6000000004,26.000
000000000080000000,3000,SP03,6000000005,0.620
000000000080000000,3000,SP03,6000000006,11.380
000000000010000002,4000,SP04,6000000007,6.000
000000000010000002,2000,SP02,6000000008,7.000
000000000030000000,4000,SP04,6000000009,6.000
000000000030000000,1000,SP01,6000000010,1.000
000000000080000001,1000,SP01,6000000011,5.000
000000000080000001,4000,SP04,6000000012,11.000
000000000010000004,3000,SP03,6000000013,27.271
000000000010000004,3000,SP03,6000000014,59.804
000000000010000004,3000,SP03,6000000015,5.925
000000000010000005,1000,SP01,6000000016,75.000
000000000010000006,1000,SP01,6000000017,3.000
000000000030000001,1000,SP01,6000000018,1.000
000000000010000007,3000,SP03,6000000019,5.844
000000000010000007,3000,SP03,6000000020,12.156
000000000010000008,4000,SP04,6000000021,0.583
000000000010000008,4000,SP04,6000000022,37.445
000000000010000008,4000,SP04,6000000023,3.972
000000000080000002,3000,SP03,6000000024,5.000
000000000080000003,4000,SP04,6000000025,25.000
000000000010000009,3000,SP03,6000000026,4.000
000000000030000002,3000,SP03,6000000027,6.000
000000000030000003,1000,SP01,6000000028,3.823
000000000030000003,1000,SP01,6000000029,0.464
000000000030000003,1000,SP01,6000000030,0.713
000000000010000011,4000,SP04,6000000031,32.000
000000000010000012,3000,SP03,6000000032,1.000
000000000010000012,2000,SP02,6000000033,7.548
000000000010000012,2000,SP02,6000000034,1.452
000000000010000013,4000,SP04,6000000035,0.321
000000000010000013,4000,SP04,6000000036,0.250
000000000010000013,4000,SP04,6000000037,4.429
000000000010000015,4000,SP04,6000000038,171.000
000000000010000015,1000,SP01,6000000039,135.000
000000000010000016,2000,SP02,6000000040,29.123
000000000010000016,2000,SP02,6000000041,5.770
000000000010000016,2000,SP02,6000000042,1.107
000000000010000018,2000,SP02,6000000043,6.000
000000000010000019,3000,SP03,6000000044,3.000
000000000010000020,3000,SP03,6000000045,27.000
000000000010000021,1000,SP01,6000000046,11.000
000000000090000000,4000,SP04,6000000047,3.535
000000000090000000,4000,SP04,6000000048,5.760
000000000090000000,4000,SP04,6000000049,1.705
000000000010000022,4000,SP04,6000000050,40.522
000000000010000022,4000,SP04,6000000051,16.333
000000000010000022,4000,SP04,6000000052,48.616
000000000010000022,4000,SP04,6000000053,99.529
000000000010000023,3000,SP03,6000000054,5.827
000000000010000023,3000,SP03,6000000055,12.173
000000000080000004,2000,SP02,6000000056,21.000
000000000010000025,2000,SP02,6000000057,94.052
000000000010000025,2000,SP02,6000000058,9.948
000000000010000026,1000,SP01,6000000059,1.000
000000000080000005,4000,SP04,6000000060,2.000
000000000080000005,2000,SP02,6000000061,1.400
000000000080000005,2000,SP02,6000000062,8.600
000000000010000028,2000,SP02,6000000063,1.000
000000000010000028,4000,SP04,6000000064,4.821
000000000010000028,4000,SP04,6000000065,4.179
000000000010000029,3000,SP03,6000000066,23.308
000000000010000029,3000,SP03,6000000067,2.692
000000000010000029,2000,SP02,6000000068,238.000
000000000030000004,4000,SP04,6000000069,5.000
000000000010000030,4000,SP04,6000000070,33.341
000000000010000030,4000,SP04,6000000071,8.201
000000000010000030,4000,SP04,6000000072,3.435
000000000010000030,4000,SP04,6000000073,19.023
000000000010000032,4000,SP04,6000000074,3.089
000000000010000032,4000,SP04,6000000075,1.911
000000000010000034,1000,SP01,6000000076,4.000
000000000080000006,2000,SP02,6000000077,14.000
000000000010000036,3000,SP03,6000000078,1.000
000000000010000036,2000,SP02,6000000079,1.000
000000000010000037,1000,SP01,6000000080,6.000
000000000090000001,1000,SP01,6000000081,16.637
000000000090000001,1000,SP01,6000000082,8.363
000000000010000038,3000,SP03,6000000083,44.000
000000000080000007,1000,SP01,6000000084,26.000
000000000030000005,3000,SP03,6000000085,3.000
000000000010000040,1000,SP01,6000000086,3.000
000000000010000041,4000,SP04,6000000087,0.305
000000000010000041,4000,SP04,6000000088,4.012
000000000010000041,4000,SP04,6000000089,0.299
000000000010000041,4000,SP04,6000000090,2.384
000000000030000006,2000,SP02,6000000091,1.000
000000000080000009,1000,SP01,6000000092,8.000
000000000080000009,4000,SP04,6000000093,14.000
000000000080000010,3000,SP03,6000000094,4.000
000000000030000007,1000,SP01,6000000095,1.000
000000000030000008,3000,SP03,6000000096,2.000
000000000010000043,1000,SP01,6000000097,8.537
000000000010000043,1000,SP01,6000000098,0.463
000000000010000043,4000,SP04,6000000099,1.398
000000000010000043,4000,SP04,6000000100,1.976
000000000010000043,4000,SP04,6000000101,1.626
000000000010000044,3000,SP03,6000000102,3.000
000000000010000045,4000,SP04,6000000103,85.000
000000000080000011,2000,SP02,6000000104,1.306
000000000080000011,2000,SP02,6000000105,9.390
000000000080000011,2000,SP02,6000000106,1.304
000000000080000012,3000,SP03,6000000107,4.997
000000000080000012,3000,SP03,6000000108,1.003
000000000010000048,4000,SP04,6000000109,14.314
000000000010000048,4000,SP04,6000000110,14.686
000000000080000013,3000,SP03,6000000111,4.000
000000000010000049,3000,SP03,6000000112,10.209
000000000010000049,3000,SP03,6000000113,1.124
000000000010000049,3000,SP03,6000000114,0.667
000000000010000049,1000,SP01,6000000115,116.000
000000000010000052,3000,SP03,6000000116,14.000
000000000010000053,1000,SP01,6000000117,9.602
000000000010000053,1000,SP01,6000000118,13.445
