Objectclas,Objectid,Changenr,Username,Udate,Utime,Tcode
MATERIAL,000000000010000000,0001000000,VZIINV01,2026-09-07T00:00:00,08:40:00,MM02
MATERIAL,000000000010000001,0001000001,VZIINV01,2026-09-07T00:00:00,11:24:00,MM02
MATERIAL,000000000010000001,0001000002,VZIINV01,2026-07-12T00:00:00,15:03:00,MM02
MATERIAL,000000000010000002,0001000003,VZIINV01,2026-06-17T00:00:00,16:55:00,MM02
MATERIAL,000000000080000001,0001000004,VZIINV02,2026-06-16T00:00:00,17:11:00,MM02
MATERIAL,000000000030000001,0001000005,VZIINV02,2026-05-24T00:00:00,16:43:00,MM02
MATERIAL,000000000080000003,0001000006,VZIINV01,2026-08-31T00:00:00,13:02:00,MM02
MATERIAL,000000000010000015,0001000007,VZIINV01,2026-06-07T00:00:00,09:41:00,MM02
MATERIAL,000000000010000019,0001000008,VZIINV01,2026-06-08T00:00:00,11:23:00,MM02
MATERIAL,000000000010000020,0001000009,VZIINV01,2026-08-01T00:00:00,09:46:00,MM02
MATERIAL,000000000080000004,0001000010,VZIINV01,2026-08-30T00:00:00,16:46:00,MM02
MATERIAL,000000000010000026,0001000011,VZIINV02,2026-08-20T00:00:00,09:33:00,MM02
MATERIAL,000000000010000026,0001000012,VZIINV01,2026-07-04T00:00:00,11:27:00,MM02
MATERIAL,000000000010000034,0001000013,VZIINV01,2026-08-19T00:00:00,12:04:00,MM02
MATERIAL,000000000010000036,0001000014,VZIINV02,2026-05-25T00:00:00,12:20:00,MM02
MATERIAL,000000000010000041,0001000015,VZIINV01,2026-06-29T00:00:00,17:33:00,MM02
MATERIAL,000000000030000006,0001000016,VZIINV02,2026-09-07T00:00:00,13:30:00,MM02
MATERIAL,000000000080000008,0001000017,VZIINV02,2026-07-22T00:00:00,13:26:00,MM02
MATERIAL,000000000010000043,0001000018,VZIINV01,2026-06-15T00:00:00,09:19:00,MM02
MATERIAL,000000000080000012,0001000019,VZIINV01,2026-07-18T00:00:00,16:53:00,MM02
MATERIAL,000000000010000058,0001000020,VZIINV01,2026-09-07T00:00:00,16:04:00,MM02
MATERIAL,000000000010000059,0001000021,VZIINV02,2026-08-23T00:00:00,07:18:00,MM02
MATERIAL,000000000010000060,0001000022,VZIINV01,2026-07-01T00:00:00,13:11:00,MM02
MATERIAL,000000000080000014,0001000023,VZIINV01,2026-06-23T00:00:00,09:58:00,MM02
MATERIAL,000000000010000075,0001000024,VZIINV01,2026-06-13T00:00:00,09:14:00,MM02
MATERIAL,000000000010000082,0001000025,VZIINV01,2026-07-12T00:00:00,15:29:00,MM02
MATERIAL,000000000010000083,0001000026,VZIINV01,2026-06-20T00:00:00,11:43:00,MM02
MATERIAL,000000000010000086,0001000027,VZIINV02,2026-08-02T00:00:00,08:54:00,MM02
MATERIAL,000000000080000021,0001000028,VZIINV01,2026-08-04T00:00:00,07:17:00,MM02
MATERIAL,000000000030000016,0001000029,VZIINV01,2026-07-31T00:00:00,10:03:00,MM02
MATERIAL,000000000010000097,0001000030,VZIINV01,2026-08-22T00:00:00,09:06:00,MM02
MATERIAL,000000000010000100,0001000031,VZIINV01,2026-07-20T00:00:00,12:21:00,MM02
MATERIAL,000000000010000101,0001000032,VZIINV02,2026-06-14T00:00:00,17:45:00,MM02
MATERIAL,000000000010000105,0001000033,VZIINV01,2026-06-27T00:00:00,09:39:00,MM02
MATERIAL,000000000010000112,0001000034,VZIINV01,2026-06-17T00:00:00,07:37:00,MM02
MATERIAL,000000000010000116,0001000035,VZIINV01,2026-09-07T00:00:00,14:30:00,MM02
MATERIAL,000000000010000120,0001000036,VZIINV01,2026-08-09T00:00:00,07:22:00,MM02
MATERIAL,000000000010000125,0001000037,VZIINV02,2026-08-13T00:00:00,13:05:00,MM02
MATERIAL,000000000010000131,0001000038,VZIINV02,2026-06-10T00:00:00,09:41:00,MM02
MATERIAL,000000000010000133,0001000039,VZIINV01,2026-07-31T00:00:00,10:19:00,MM02
MATERIAL,000000000010000135,0001000040,VZIINV01,2026-09-07T00:00:00,17:15:00,MM02
MATERIAL,000000000010000137,0001000041,VZIINV02,2026-06-18T00:00:00,15:28:00,MM02
MATERIAL,000000000080000028,0001000042,VZIINV02,2026-06-15T00:00:00,15:45:00,MM02
MATERIAL,000000000080000029,0001000043,VZIINV01,2026-07-27T00:00:00,10:07:00,MM02
MATERIAL,000000000030000023,0001000044,VZIINV01,2026-06-21T00:00:00,14:34:00,MM02
MATERIAL,000000000010000153,0001000045,VZIINV02,2026-05-15T00:00:00,10:21:00,MM02
MATERIAL,000000000010000156,0001000046,VZIINV01,2026-05-28T00:00:00,17:49:00,MM02
MATERIAL,000000000080000036,0001000047,VZIINV02,2026-09-07T00:00:00,17:29:00,MM02
MATERIAL,000000000080000039,0001000048,VZIINV01,2026-06-28T00:00:00,11:18:00,MM02
MATERIAL,000000000010000171,0001000049,VZIINV01,2026-06-01T00:00:00,09:05:00,MM02
MATERIAL,000000000010000173,0001000050,VZIINV02,2026-08-03T00:00:00,13:33:00,MM02
MATERIAL,000000000010000176,0001000051,VZIINV02,2026-05-20T00:00:00,14:32:00,MM02
MATERIAL,000000000010000180,0001000052,VZIINV01,2026-08-22T00:00:00,17:04:00,MM02
MATERIAL,000000000010000180,0001000053,VZIINV02,2026-07-27T00:00:00,11:46:00,MM02
MATERIAL,000000000010000183,0001000054,VZIINV02,2026-08-05T00:00:00,09:42:00,MM02
MATERIAL,000000000010000183,0001000055,VZIINV01,2026-07-13T00:00:00,16:40:00,MM02
MATERIAL,000000000010000192,0001000056,VZIINV01,2026-06-21T00:00:00,14:18:00,MM02
MATERIAL,000000000010000197,0001000057,VZIINV02,2026-07-23T00:00:00,09:24:00,MM02
MATERIAL,000000000010000199,0001000058,VZIINV02,2026-08-28T00:00:00,07:26:00,MM02
MATERIAL,000000000030000034,0001000059,VZIINV02,2026-07-25T00:00:00,14:00:00,MM02
MATERIAL,000000000010000204,0001000060,VZIINV02,2026-09-03T00:00:00,10:06:00,MM02
MATERIAL,000000000010000207,0001000061,VZIINV01,2026-07-09T00:00:00,09:44:00,MM02
MATERIAL,000000000030000038,0001000062,VZIINV01,2026-07-25T00:00:00,08:13:00,MM02
MATERIAL,000000000010000213,0001000063,VZIINV02,2026-08-02T00:00:00,08:40:00,MM02
MATERIAL,000000000080000051,0001000064,VZIINV02,2026-08-27T00:00:00,13:06:00,MM02
MATERIAL,000000000010000219,0001000065,VZIINV01,2026-06-17T00:00:00,11:03:00,MM02
MATERIAL,000000000080000053,0001000066,VZIINV01,2026-07-26T00:00:00,12:42:00,MM02
MATERIAL,000000000080000054,0001000067,VZIINV02,2026-07-04T00:00:00,09:21:00,MM02
MATERIAL,000000000010000220,0001000068,VZIINV02,2026-07-01T00:00:00,12:48:00,MM02
MATERIAL,000000000010000224,0001000069,VZIINV01,2026-05-24T00:00:00,12:18:00,MM02
MATERIAL,000000000010000228,0001000070,VZIINV01,2026-09-03T00:00:00,10:20:00,MM02
MATERIAL,000000000010000230,0001000071,VZIINV02,2026-05-31T00:00:00,16:26:00,MM02
MATERIAL,000000000010000233,0001000072,VZIINV02,2026-07-28T00:00:00,16:51:00,MM02
MATERIAL,000000000030000046,0001000073,VZIINV02,2026-06-11T00:00:00,12:30:00,MM02
MATERIAL,000000000030000047,0001000074,VZIINV01,2026-08-09T00:00:00,13:19:00,MM02
MATERIAL,000000000010000240,0001000075,VZIINV02,2026-06-01T00:00:00,17:10:00,MM02
MATERIAL,000000000010000244,0001000076,VZIINV02,2026-06-25T00:00:00,11:46:00,MM02
MATERIAL,000000000010000246,0001000077,VZIINV01,2026-06-11T00:00:00,12:39:00,MM02
MATERIAL,000000000080000060,0001000078,VZIINV02,2026-08-10T00:00:00,09:23:00,MM02
MATERIAL,000000000010000259,0001000079,VZIINV02,2026-05-22T00:00:00,17:31:00,MM02
MATERIAL,000000000080000065,0001000080,VZIINV02,2026-07-02T00:00:00,17:49:00,MM02
MATERIAL,000000000010000263,0001000081,VZIINV01,2026-07-06T00:00:00,10:05:00,MM02
MATERIAL,000000000010000264,0001000082,VZIINV01,2026-08-22T00:00:00,14:19:00,MM02
MATERIAL,000000000030000053,0001000083,VZIINV01,2026-06-25T00:00:00,11:12:00,MM02
MATERIAL,000000000080000066,0001000084,VZIINV02,2026-05-31T00:00:00,15:19:00,MM02
MATERIAL,000000000010000274,0001000085,VZIINV02,2026-08-03T00:00:00,09:05:00,MM02
MATERIAL,000000000010000277,0001000086,VZIINV02,2026-07-06T00:00:00,07:28:00,MM02
MATERIAL,000000000010000285,0001000087,VZIINV02,2026-08-27T00:00:00,12:15:00,MM02
MATERIAL,000000000080000071,0001000088,VZIINV01,2026-06-18T00:00:00,13:17:00,MM02
MATERIAL,000000000010000295,0001000089,VZIINV02,2026-06-05T00:00:00,13:41:00,MM02
MATERIAL,000000000080000073,0001000090,VZIINV01,2026-09-04T00:00:00,17:27:00,MM02
MATERIAL,000000000010000301,0001000091,VZIINV01,2026-08-09T00:00:00,15:39:00,MM02
MATERIAL,000000000010000305,0001000092,VZIINV02,2026-05-24T00:00:00,08:14:00,MM02
MATERIAL,000000000010000308,0001000093,VZIINV02,2026-06-06T00:00:00,14:37:00,MM02
MATERIAL,000000000010000309,0001000094,VZIINV02,2026-06-11T00:00:00,10:07:00,MM02
MATERIAL,000000000010000317,0001000095,VZIINV02,2026-08-12T00:00:00,13:44:00,MM02
MATERIAL,000000000010000317,0001000096,VZIINV02,2026-08-08T00:00:00,16:58:00,MM02
MATERIAL,000000000010000319,0001000097,VZIINV01,2026-06-25T00:00:00,16:20:00,MM02
MATERIAL,000000000010000323,0001000098,VZIINV01,2026-09-07T00:00:00,10:40:00,MM02
MATERIAL,000000000010000327,0001000099,VZIINV02,2026-08-16T00:00:00,07:42:00,MM02
MATERIAL,000000000010000329,0001000100,VZIINV02,2026-08-11T00:00:00,08:53:00,MM02
MATERIAL,000000000010000331,0001000101,VZIINV01,2026-08-17T00:00:00,16:41:00,MM02
MATERIAL,000000000010000338,0001000102,VZIINV02,2026-08-11T00:00:00,08:08:00,MM02
MATERIAL,000000000080000078,0001000103,VZIINV01,2026-05-18T00:00:00,15:03:00,MM02
MATERIAL,000000000010000340,0001000104,VZIINV02,2026-09-06T00:00:00,10:49:00,MM02
MATERIAL,000000000010000351,0001000105,VZIINV02,2026-07-13T00:00:00,17:21:00,MM02
MATERIAL,000000000030000073,0001000106,VZIINV01,2026-08-28T00:00:00,13:25:00,MM02
MATERIAL,000000000010000356,0001000107,VZIINV01,2026-07-11T00:00:00,17:23:00,MM02
MATERIAL,000000000010000357,0001000108,VZIINV01,2026-07-30T00:00:00,15:36:00,MM02
MATERIAL,000000000010000364,0001000109,VZIINV01,2026-07-09T00:00:00,17:18:00,MM02
MATERIAL,000000000080000082,0001000110,VZIINV01,2026-09-01T00:00:00,14:27:00,MM02
MATERIAL,000000000080000084,0001000111,VZIINV01,2026-08-02T00:00:00,12:14:00,MM02
MATERIAL,000000000010000378,0001000112,VZIINV02,2026-07-18T00:00:00,17:44:00,MM02
MATERIAL,000000000080000087,0001000113,VZIINV01,2026-06-07T00:00:00,14:04:00,MM02
MATERIAL,000000000010000383,0001000114,VZIINV01,2026-08-09T00:00:00,10:14:00,MM02
MATERIAL,000000000010000384,0001000115,VZIINV02,2026-08-09T00:00:00,09:48:00,MM02
MATERIAL,000000000080000088,0001000116,VZIINV01,2026-06-02T00:00:00,07:59:00,MM02
MATERIAL,000000000010000386,0001000117,VZIINV02,2026-08-16T00:00:00,09:36:00,MM02
MATERIAL,000000000010000388,0001000118,VZIINV02,2026-09-03T00:00:00,07:47:00,MM02
MATERIAL,000000000010000398,0001000119,VZIINV01,2026-06-12T00:00:00,15:06:00,MM02
MATERIAL,000000000010000399,0001000120,VZIINV01,2026-06-24T00:00:00,07:43:00,MM02
MATERIAL,000000000030000086,0001000121,VZIINV02,2026-09-07T00:00:00,17:47:00,MM02
MATERIAL,000000000010000408,0001000122,VZIINV02,2026-08-09T00:00:00,08:08:00,MM02
MATERIAL,000000000010000409,0001000123,VZIINV02,2026-07-06T00:00:00,17:54:00,MM02
MATERIAL,000000000010000412,0001000124,VZIINV01,2026-06-02T00:00:00,13:11:00,MM02
MATERIAL,000000000010000415,0001000125,VZIINV02,2026-08-10T00:00:00,07:57:00,MM02
MATERIAL,000000000010000418,0001000126,VZIINV01,2026-07-25T00:00:00,08:44:00,MM02
MATERIAL,000000000010000419,0001000127,VZIINV02,2026-08-18T00:00:00,08:03:00,MM02
MATERIAL,000000000010000423,0001000128,VZIINV01,2026-07-14T00:00:00,07:49:00,MM02
MATERIAL,000000000010000425,0001000129,VZIINV02,2026-06-10T00:00:00,10:34:00,MM02
MATERIAL,000000000010000431,0001000130,VZIINV02,2026-08-21T00:00:00,15:36:00,MM02
MATERIAL,000000000010000435,0001000131,VZIINV02,2026-08-01T00:00:00,08:41:00,MM02
MATERIAL,000000000010000435,0001000132,VZIINV02,2026-08-27T00:00:00,15:44:00,MM02
MATERIAL,000000000010000437,0001000133,VZIINV02,2026-09-07T00:00:00,13:35:00,MM02
MATERIAL,000000000010000438,0001000134,VZIINV01,2026-08-25T00:00:00,11:27:00,MM02
MATERIAL,000000000010000441,0001000135,VZIINV01,2026-08-26T00:00:00,07:15:00,MM02
MATERIAL,000000000010000446,0001000136,VZIINV02,2026-07-17T00:00:00,16:31:00,MM02
MATERIAL,000000000010000446,0001000137,VZIINV02,2026-06-18T00:00:00,08:07:00,MM02
MATERIAL,000000000010000451,0001000138,VZIINV02,2026-07-05T00:00:00,11:34:00,MM02
MATERIAL,000000000010000452,0001000139,VZIINV01,2026-06-06T00:00:00,13:55:00,MM02
MATERIAL,000000000010000457,0001000140,VZIINV02,2026-06-12T00:00:00,07:47:00,MM02
MATERIAL,000000000010000458,0001000141,VZIINV02,2026-07-05T00:00:00,13:39:00,MM02
MATERIAL,000000000010000458,0001000142,VZIINV01,2026-05-31T00:00:00,16:28:00,MM02
MATERIAL,000000000010000463,0001000143,VZIINV01,2026-09-07T00:00:00,14:45:00,MM02
MATERIAL,000000000010000466,0001000144,VZIINV02,2026-05-19T00:00:00,14:22:00,MM02
MATERIAL,000000000010000473,0001000145,VZIINV01,2026-08-25T00:00:00,09:16:00,MM02
MATERIAL,000000000080000102,0001000146,VZIINV02,2026-07-20T00:00:00,10:36:00,MM02
MATERIAL,000000000010000481,0001000147,VZIINV01,2026-08-24T00:00:00,12:06:00,MM02
MATERIAL,000000000010000490,0001000148,VZIINV01,2026-07-20T00:00:00,09:42:00,MM02
MATERIAL,000000000010000491,0001000149,VZIINV01,2026-06-17T00:00:00,11:43:00,MM02
MATERIAL,000000000010000499,0001000150,VZIINV02,2026-08-06T00:00:00,15:18:00,MM02
MATERIAL,000000000010000507,0001000151,VZIINV01,2026-07-26T00:00:00,10:14:00,MM02
MATERIAL,000000000010000508,0001000152,VZIINV01,2026-08-18T00:00:00,10:31:00,MM02
MATERIAL,000000000010000510,0001000153,VZIINV02,2026-09-07T00:00:00,10:29:00,MM02
