Objectclas,Objectid,Changenr,Tabname,Tabkey,Fname,Chngind,Value_new,Value_old
MATERIAL,000000000010000000,0001000000,MARC,0000000000100000001000,MINBE,U,54.900,36.087
MATERIAL,000000000010000000,0001000000,MARC,0000000000100000001000,MABST,U,126.500,152.999
MATERIAL,000000000010000001,0001000001,MARC,0000000000100000011000,MINBE,U,21.900,12.408
MATERIAL,000000000010000001,0001000001,MARC,0000000000100000011000,MABST,U,70.000,117.512
MATERIAL,000000000010000001,0001000002,MARC,0000000000100000012000,MINBE,U,29.700,41.138
MATERIAL,000000000010000001,0001000002,MARC,0000000000100000012000,MABST,U,94.200,129.327
MATERIAL,000000000010000002,0001000003,MARC,0000000000100000022000,MINBE,U,2.900,5.226
MATERIAL,000000000010000002,0001000003,MARC,0000000000100000022000,MABST,U,6.900,9.524
MATERIAL,000000000080000001,0001000004,MARC,0000000000800000014000,MINBE,U,5.500,7.884
MATERIAL,000000000080000001,0001000004,MARC,0000000000800000014000,MABST,U,10.100,10.728
MATERIAL,000000000030000001,0001000005,MARC,0000000000300000011000,MINBE,U,4.100,0.000
MATERIAL,000000000030000001,0001000005,MARC,0000000000300000011000,MABST,U,8.000,0.000
MATERIAL,000000000080000003,0001000006,MARC,0000000000800000034000,MINBE,U,10.600,10.469
MATERIAL,000000000080000003,0001000006,MARC,0000000000800000034000,MABST,U,17.100,25.946
MATERIAL,000000000010000015,0001000007,MARC,0000000000100000151000,MINBE,U,79.600,108.875
MATERIAL,000000000010000015,0001000007,MARC,0000000000100000151000,MABST,U,179.200,197.807
MATERIAL,000000000010000019,0001000008,MARC,0000000000100000193000,MINBE,U,1.200,1.375
MATERIAL,000000000010000019,0001000008,MARC,0000000000100000193000,MABST,U,2.500,3.479
MATERIAL,000000000010000020,0001000009,MARC,0000000000100000203000,MINBE,U,15.100,15.160
MATERIAL,000000000010000020,0001000009,MARC,0000000000100000203000,MABST,U,21.400,35.686
MATERIAL,000000000080000004,0001000010,MARC,0000000000800000042000,MINBE,U,19.200,31.769
MATERIAL,000000000080000004,0001000010,MARC,0000000000800000042000,MABST,U,24.900,36.800
MATERIAL,000000000010000026,0001000011,MARC,0000000000100000262000,MINBE,U,1.800,1.762
MATERIAL,000000000010000026,0001000011,MARC,0000000000100000262000,MABST,U,3.000,3.864
MATERIAL,000000000010000026,0001000012,MARC,0000000000100000261000,MINBE,U,0.500,0.409
MATERIAL,000000000010000026,0001000012,MARC,0000000000100000261000,MABST,U,0.800,0.676
MATERIAL,000000000010000034,0001000013,MARC,0000000000100000341000,MINBE,U,10.700,6.612
MATERIAL,000000000010000034,0001000013,MARC,0000000000100000341000,MABST,U,13.700,16.402
MATERIAL,000000000010000036,0001000014,MARC,0000000000100000362000,MINBE,U,2.700,1.257
MATERIAL,000000000010000036,0001000014,MARC,0000000000100000362000,MABST,U,7.500,12.324
MATERIAL,000000000010000041,0001000015,MARC,0000000000100000414000,MINBE,U,6.100,10.197
MATERIAL,000000000010000041,0001000015,MARC,0000000000100000414000,MABST,U,9.100,10.197
MATERIAL,000000000030000006,0001000016,MARC,0000000000300000062000,MINBE,U,4.400,0.000
MATERIAL,000000000030000006,0001000016,MARC,0000000000300000062000,MABST,U,6.200,0.000
MATERIAL,000000000080000008,0001000017,MARC,0000000000800000084000,MINBE,U,1.500,0.906
MATERIAL,000000000080000008,0001000017,MARC,0000000000800000084000,MABST,U,2.900,4.763
MATERIAL,000000000010000043,0001000018,MARC,0000000000100000434000,MINBE,U,2.200,1.537
MATERIAL,000000000010000043,0001000018,MARC,0000000000100000434000,MABST,U,5.300,6.306
MATERIAL,000000000080000012,0001000019,MARC,0000000000800000123000,MINBE,U,4.700,4.607
MATERIAL,000000000080000012,0001000019,MARC,0000000000800000123000,MABST,U,8.400,10.894
MATERIAL,000000000010000058,0001000020,MARC,0000000000100000584000,MINBE,U,0.600,0.780
MATERIAL,000000000010000058,0001000020,MARC,0000000000100000584000,MABST,U,1.700,2.875
MATERIAL,000000000010000059,0001000021,MARC,0000000000100000593000,MINBE,U,11.200,12.146
MATERIAL,000000000010000059,0001000021,MARC,0000000000100000593000,MABST,U,14.200,21.674
MATERIAL,000000000010000060,0001000022,MARC,0000000000100000604000,MINBE,U,22.600,31.923
MATERIAL,000000000010000060,0001000022,MARC,0000000000100000604000,MABST,U,108.000,105.333
MATERIAL,000000000080000014,0001000023,MARC,0000000000800000144000,MINBE,U,2.800,3.811
MATERIAL,000000000080000014,0001000023,MARC,0000000000800000144000,MABST,U,6.800,11.503
MATERIAL,000000000010000075,0001000024,MARC,0000000000100000752000,MINBE,U,41.300,58.189
MATERIAL,000000000010000075,0001000024,MARC,0000000000100000752000,MABST,U,139.600,194.752
MATERIAL,000000000010000082,0001000025,MARC,0000000000100000823000,MINBE,U,56.700,38.435
MATERIAL,000000000010000082,0001000025,MARC,0000000000100000823000,MABST,U,141.200,129.879
MATERIAL,000000000010000083,0001000026,MARC,0000000000100000833000,MINBE,U,4.200,4.722
MATERIAL,000000000010000083,0001000026,MARC,0000000000100000833000,MABST,U,5.500,5.683
MATERIAL,000000000010000086,0001000027,MARC,0000000000100000864000,MINBE,U,1.500,2.048
MATERIAL,000000000010000086,0001000027,MARC,0000000000100000864000,MABST,U,4.200,5.185
MATERIAL,000000000080000021,0001000028,MARC,0000000000800000213000,MINBE,U,1.400,1.876
MATERIAL,000000000080000021,0001000028,MARC,0000000000800000213000,MABST,U,2.400,1.876
MATERIAL,000000000030000016,0001000029,MARC,0000000000300000163000,MINBE,U,2.500,0.000
MATERIAL,000000000030000016,0001000029,MARC,0000000000300000163000,MABST,U,4.800,0.000
MATERIAL,000000000010000097,0001000030,MARC,0000000000100000974000,MINBE,U,6.200,9.305
MATERIAL,000000000010000097,0001000030,MARC,0000000000100000974000,MABST,U,8.100,9.305
MATERIAL,000000000010000100,0001000031,MARC,0000000000100001004000,MINBE,U,8.200,6.617
MATERIAL,000000000010000100,0001000031,MARC,0000000000100001004000,MABST,U,10.700,18.246
MATERIAL,000000000010000101,0001000032,MARC,0000000000100001014000,MINBE,U,9.500,8.236
MATERIAL,000000000010000101,0001000032,MARC,0000000000100001014000,MABST,U,13.200,12.025
MATERIAL,000000000010000105,0001000033,MARC,0000000000100001054000,MINBE,U,1.500,2.571
MATERIAL,000000000010000105,0001000033,MARC,0000000000100001054000,MABST,U,2.500,2.578
MATERIAL,000000000010000112,0001000034,MARC,0000000000100001121000,MINBE,U,40.500,72.428
MATERIAL,000000000010000112,0001000034,MARC,0000000000100001121000,MABST,U,110.400,190.136
MATERIAL,000000000010000116,0001000035,MARC,0000000000100001162000,MINBE,U,1.400,2.326
MATERIAL,000000000010000116,0001000035,MARC,0000000000100001162000,MABST,U,3.400,3.918
MATERIAL,000000000010000120,0001000036,MARC,0000000000100001204000,MINBE,U,2.100,2.399
MATERIAL,000000000010000120,0001000036,MARC,0000000000100001204000,MABST,U,2.700,4.341
MATERIAL,000000000010000125,0001000037,MARC,0000000000100001254000,MINBE,U,1.500,1.240
MATERIAL,000000000010000125,0001000037,MARC,0000000000100001254000,MABST,U,3.900,6.700
MATERIAL,000000000010000131,0001000038,MARC,0000000000100001311000,MINBE,U,6.700,5.117
MATERIAL,000000000010000131,0001000038,MARC,0000000000100001311000,MABST,U,11.100,16.264
MATERIAL,000000000010000133,0001000039,MARC,0000000000100001333000,MINBE,U,1.900,2.370
MATERIAL,000000000010000133,0001000039,MARC,0000000000100001333000,MABST,U,5.400,6.235
MATERIAL,000000000010000135,0001000040,MARC,0000000000100001352000,MINBE,U,3.300,1.714
MATERIAL,000000000010000135,0001000040,MARC,0000000000100001352000,MABST,U,6.000,5.896
MATERIAL,000000000010000137,0001000041,MARC,0000000000100001373000,MINBE,U,58.900,68.750
MATERIAL,000000000010000137,0001000041,MARC,0000000000100001373000,MABST,U,145.800,169.065
MATERIAL,000000000080000028,0001000042,MARC,0000000000800000281000,MINBE,U,3.200,2.960
MATERIAL,000000000080000028,0001000042,MARC,0000000000800000281000,MABST,U,7.700,10.925
MATERIAL,000000000080000029,0001000043,MARC,0000000000800000294000,MINBE,U,1.600,0.698
MATERIAL,000000000080000029,0001000043,MARC,0000000000800000294000,MABST,U,4.200,3.902
MATERIAL,000000000030000023,0001000044,MARC,0000000000300000231000,MINBE,U,3.200,0.000
MATERIAL,000000000030000023,0001000044,MARC,0000000000300000231000,MABST,U,6.600,0.000
MATERIAL,000000000010000153,0001000045,MARC,0000000000100001532000,MINBE,U,3.400,3.586
MATERIAL,000000000010000153,0001000045,MARC,0000000000100001532000,MABST,U,4.400,5.169
MATERIAL,000000000010000156,0001000046,MARC,0000000000100001563000,MINBE,U,19.100,11.393
MATERIAL,000000000010000156,0001000046,MARC,0000000000100001563000,MABST,U,24.100,37.271
MATERIAL,000000000080000036,0001000047,MARC,0000000000800000363000,MINBE,U,1.100,1.485
MATERIAL,000000000080000036,0001000047,MARC,0000000000800000363000,MABST,U,2.600,1.901
MATERIAL,000000000080000039,0001000048,MARC,0000000000800000394000,MINBE,U,2.100,2.777
MATERIAL,000000000080000039,0001000048,MARC,0000000000800000394000,MABST,U,3.600,4.063
MATERIAL,000000000010000171,0001000049,MARC,0000000000100001712000,MINBE,U,2.500,1.255
MATERIAL,000000000010000171,0001000049,MARC,0000000000100001712000,MABST,U,3.500,3.739
MATERIAL,000000000010000173,0001000050,MARC,0000000000100001733000,MINBE,U,1.200,1.803
MATERIAL,000000000010000173,0001000050,MARC,0000000000100001733000,MABST,U,1.600,1.803
MATERIAL,000000000010000176,0001000051,MARC,0000000000100001761000,MINBE,U,1.900,2.625
MATERIAL,000000000010000176,0001000051,MARC,0000000000100001761000,MABST,U,4.000,4.419
MATERIAL,000000000010000180,0001000052,MARC,0000000000100001801000,MINBE,U,3.700,3.871
MATERIAL,000000000010000180,0001000052,MARC,0000000000100001801000,MABST,U,8.600,13.928
MATERIAL,000000000010000180,0001000053,MARC,0000000000100001804000,MINBE,U,2.700,1.549
MATERIAL,000000000010000180,0001000053,MARC,0000000000100001804000,MABST,U,5.800,9.968
MATERIAL,000000000010000183,0001000054,MARC,0000000000100001831000,MINBE,U,13.200,12.764
MATERIAL,000000000010000183,0001000054,MARC,0000000000100001831000,MABST,U,17.800,31.155
