Mblnr,Mjahr,Zeile,Bwart,Matnr,Werks,Lgort,Lifnr,Shkzg,Dmbtr,Menge,Meins,Ebeln,Ebelp,Sgtxt,Wempf,Kostl,Aufnr,Rsnum,Rspos,Umwrk,Umlgo,Grund,BudatMkpf,CpudtMkpf
4900000000,2024,0001,261,000000000010000000,1000,SP01,,H,1274041.99,23.000,EA,,,ISSUED TO TH-401,VZIREQ04,,411567237,,,,,,2024-09-05T00:00:00,2024-09-05T00:00:00
4900000001,2024,0001,261,000000000010000000,1000,SP01,,H,1717187.03,31.000,EA,,,ISSUED TO PU-611,VZIREQ01,,415544258,,,,,,2024-10-27T00:00:00,2024-10-27T00:00:00
4900000002,2024,0001,201,000000000010000000,1000,SP01,,H,830896.95,15.000,EA,,,BREAKDOWN REPL CV-501,VZIREQ05,1000-MECH,,,,,,,2024-11-19T00:00:00,2024-11-19T00:00:00
4900000003,2024,0001,261,000000000010000000,1000,SP01,,H,1052469.47,19.000,EA,,,ISSUED TO FA-810,VZIREQ02,,412661625,,,,,,2024-12-08T00:00:00,2024-12-08T00:00:00
4900000004,2025,0001,101,000000000010000000,1000,SP01,0001000005,S,6591782.47,119.000,EA,4500000000,00010,GR AGAINST PO,,,,,,,,,2025-01-09T00:00:00,2025-01-09T00:00:00
4900000005,2025,0001,201,000000000010000000,1000,SP01,,H,1661793.90,30.000,EA,,,BREAKDOWN REPL PU-611,VZIREQ04,1000-MECH,,,,,,,2025-01-13T00:00:00,2025-01-13T00:00:00
4900000006,2025,0001,261,000000000010000000,1000,SP01,,H,1052469.47,19.000,EA,,,BREAKDOWN REPL FA-810,VZIREQ01,,411426909,,,,,,2025-02-19T00:00:00,2025-02-19T00:00:00
4900000007,2025,0001,261,000000000010000000,1000,SP01,,H,1384828.25,25.000,EA,,,ISSUED TO FA-810,VZIREQ03,,411785393,,,,,,2025-03-27T00:00:00,2025-03-27T00:00:00
4900000008,2025,0001,261,000000000010000000,1000,SP01,,H,1717187.03,31.000,EA,,,BREAKDOWN REPL CV-501,VZIREQ03,,413258003,,,,,,2025-04-25T00:00:00,2025-04-25T00:00:00
4900000009,2025,0001,261,000000000010000000,1000,SP01,,H,775503.82,14.000,EA,,,ISSUED TO TH-401,VZIREQ05,,418655393,,,,,,2025-05-07T00:00:00,2025-05-07T00:00:00
4900000010,2025,0001,101,000000000010000000,1000,SP01,0001000005,S,7699645.07,139.000,EA,4500000001,00010,GR AGAINST PO,,,,,,,,,2025-06-29T00:00:00,2025-06-29T00:00:00
4900000011,2025,0001,261,000000000010000000,1000,SP01,,H,1163255.73,21.000,EA,,,BREAKDOWN REPL CV-501,VZIREQ02,,419173128,,,,,,2025-07-12T00:00:00,2025-07-12T00:00:00
4900000012,2025,0001,201,000000000010000000,1000,SP01,,H,1107862.60,20.000,EA,,,BREAKDOWN REPL CR-101,VZIREQ02,1000-MECH,,,,,,,2025-08-08T00:00:00,2025-08-08T00:00:00
4900000013,2025,0001,261,000000000010000000,1000,SP01,,H,775503.82,14.000,EA,,,ISSUED TO CR-101,VZIREQ01,,412867870,,,,,,2025-09-02T00:00:00,2025-09-02T00:00:00
4900000014,2025,0001,261,000000000010000000,1000,SP01,,H,1717187.03,31.000,EA,,,BREAKDOWN REPL ML-202,VZIREQ02,,413864223,,,,,,2025-10-03T00:00:00,2025-10-03T00:00:00
4900000015,2025,0001,261,000000000010000000,1000,SP01,,H,1827973.29,33.000,EA,,,CHANGEOUT CV-501,VZIREQ02,,414946628,,,,,,2025-11-12T00:00:00,2025-11-12T00:00:00
4900000016,2025,0001,201,000000000010000000,1000,SP01,,H,1107862.60,20.000,EA,,,BREAKDOWN REPL PU-610,VZIREQ02,1000-MECH,,,,,,,2025-12-04T00:00:00,2025-12-04T00:00:00
4900000017,2026,0001,101,000000000010000000,1000,SP01,0001000005,S,7367286.29,133.000,EA,4500000002,00010,GR AGAINST PO,,,,,,,,,2026-01-14T00:00:00,2026-01-14T00:00:00
4900000018,2026,0001,261,000000000010000000,1000,SP01,,H,1274041.99,23.000,EA,,,BREAKDOWN REPL FL-310,VZIREQ03,,413253227,,,,,,2026-01-24T00:00:00,2026-01-24T00:00:00
4900000019,2026,0001,201,000000000010000000,1000,SP01,,H,1274041.99,23.000,EA,,,CHANGEOUT ML-202,VZIREQ01,1000-MECH,,,,,,,2026-02-28T00:00:00,2026-02-28T00:00:00
4900000020,2026,0001,261,000000000010000000,1000,SP01,,H,1274041.99,23.000,EA,,,BREAKDOWN REPL ML-202,VZIREQ05,,412273954,,,,,,2026-03-13T00:00:00,2026-03-13T00:00:00
4900000021,2026,0001,261,000000000010000000,1000,SP01,,H,775503.82,14.000,EA,,,ISSUED TO CR-101,VZIREQ04,,413896236,,,,,,2026-04-24T00:00:00,2026-04-24T00:00:00
4900000022,2026,0001,261,000000000010000000,1000,SP01,,H,1551007.64,28.000,EA,,,BREAKDOWN REPL PU-611,VZIREQ02,,419020060,,,,,,2026-05-29T00:00:00,2026-05-29T00:00:00
4900000023,2026,0001,261,000000000010000000,1000,SP01,,H,1218648.86,22.000,EA,,,BREAKDOWN REPL FL-310,VZIREQ04,,412095990,,,,,,2026-06-21T00:00:00,2026-06-21T00:00:00
4900000024,2026,0001,101,000000000010000000,1000,SP01,0001000005,S,7256500.03,131.000,EA,4500000003,00010,GR AGAINST PO,,,,,,,,,2026-08-17T00:00:00,2026-08-17T00:00:00
