Infnr,Ekorg,Esokz,Werks,Loekz,Waers,Aplfz,Netpr,Peinh,Effpr
5300000000,Z100,0,3000,false,ZAR,125.000,242789.42,1.000,250073.10
5300000001,Z100,0,1000,false,ZAR,23.000,60561.87,1.000,62378.73
5300000002,Z100,0,1000,false,ZAR,34.000,55011.74,1.000,56662.09
5300000003,Z100,0,3000,false,ZAR,44.000,11965.72,1.000,12324.69
5300000004,Z100,0,4000,false,ZAR,60.000,561425.72,1.000,578268.49
5300000005,Z100,0,2000,false,ZAR,38.000,92105.00,1.000,94868.15
5300000006,Z100,0,4000,false,ZAR,37.000,46726.69,1.000,48128.49
5300000007,Z100,0,2000,false,ZAR,55.000,479666.48,1.000,494056.47
5300000008,Z100,0,2000,false,ZAR,48.000,161899.09,1.000,166756.06
5300000009,Z100,0,3000,false,ZAR,101.000,411757.15,1.000,424109.86
5300000010,Z100,0,4000,false,ZAR,23.000,120662.58,1.000,124282.46
5300000011,Z100,0,3000,false,ZAR,97.000,185819.41,1.000,191393.99
5300000012,Z100,0,4000,false,ZAR,51.000,27971.07,1.000,28810.20
5300000013,Z100,0,1000,false,ZAR,57.000,176353.77,1.000,181644.38
5300000014,Z100,0,3000,false,ZAR,22.000,88704.42,1.000,91365.55
5300000015,Z100,0,1000,false,ZAR,27.000,46062.57,1.000,47444.45
5300000016,Z100,0,1000,false,ZAR,21.000,172889.89,1.000,178076.59
5300000017,Z100,0,3000,false,ZAR,25.000,6369.65,1.000,6560.74
5300000018,Z100,0,1000,false,ZAR,132.000,338088.83,1.000,348231.49
5300000019,Z100,0,2000,false,ZAR,8.000,61638.18,1.000,63487.33
5300000020,Z100,0,2000,false,ZAR,68.000,16669.65,1.000,17169.74
5300000021,Z100,0,1000,false,ZAR,39.000,136703.62,1.000,140804.73
5300000022,Z100,0,4000,false,ZAR,17.000,67049.35,1.000,69060.83
5300000023,Z100,0,2000,false,ZAR,19.000,21925.50,1.000,22583.26
5300000024,Z100,0,4000,false,ZAR,99.000,201836.15,1.000,207891.23
5300000025,Z100,0,1000,false,ZAR,29.000,150951.38,1.000,155479.92
5300000026,Z100,0,2000,false,ZAR,72.000,380748.93,1.000,392171.40
5300000027,Z100,0,1000,false,ZAR,56.000,415935.06,1.000,428413.11
5300000028,Z100,0,2000,false,ZAR,113.000,15010.93,1.000,15461.26
5300000029,Z100,0,4000,false,ZAR,117.000,147405.16,1.000,151827.31
5300000030,Z100,0,1000,false,ZAR,51.000,116318.84,1.000,119808.41
5300000031,Z100,0,3000,false,ZAR,38.000,15841.76,1.000,16317.01
5300000032,Z100,0,3000,false,ZAR,30.000,63690.04,1.000,65600.74
5300000033,Z100,0,1000,false,ZAR,44.000,264340.79,1.000,272271.01
5300000034,Z100,0,3000,false,ZAR,193.000,124851.15,1.000,128596.68
5300000035,Z100,0,4000,false,ZAR,8.000,108020.58,1.000,111261.20
5300000036,Z100,0,1000,false,ZAR,57.000,164352.21,1.000,169282.78
5300000037,Z100,0,4000,false,ZAR,19.000,26201.97,1.000,26988.03
5300000038,Z100,0,4000,false,ZAR,84.000,117319.10,1.000,120838.67
5300000039,Z100,0,4000,false,ZAR,30.000,3301.30,1.000,3400.34
5300000040,Z100,0,1000,false,ZAR,55.000,83199.80,1.000,85695.79
5300000041,Z100,0,1000,false,ZAR,111.000,44626.26,1.000,45965.05
5300000042,Z100,0,1000,false,ZAR,57.000,53568.87,1.000,55175.94
5300000043,Z100,0,4000,false,ZAR,89.000,13896.19,1.000,14313.08
5300000044,Z100,0,1000,false,ZAR,127.000,692506.28,1.000,713281.47
5300000045,Z100,0,2000,false,ZAR,32.000,140528.58,1.000,144744.44
5300000046,Z100,0,1000,false,ZAR,23.000,46468.66,1.000,47862.72
5300000047,Z100,0,2000,false,ZAR,35.000,516069.15,1.000,531551.22
5300000048,Z100,0,4000,false,ZAR,83.000,93703.22,1.000,96514.32
5300000049,Z100,0,4000,false,ZAR,126.000,190592.37,1.000,196310.14
5300000050,Z100,0,4000,false,ZAR,28.000,177437.98,1.000,182761.12
5300000051,Z100,0,3000,false,ZAR,32.000,34803.71,1.000,35847.82
5300000052,Z100,0,4000,false,ZAR,23.000,60269.79,1.000,62077.88
5300000053,Z100,0,3000,false,ZAR,48.000,167738.57,1.000,172770.73
5300000054,Z100,0,4000,false,ZAR,36.000,8418.74,1.000,8671.30
5300000055,Z100,0,2000,false,ZAR,49.000,2994.36,1.000,3084.19
5300000056,Z100,0,3000,false,ZAR,17.000,179895.35,1.000,185292.21
5300000057,Z100,0,1000,false,ZAR,135.000,59980.60,1.000,61780.02
5300000058,Z100,0,1000,false,ZAR,23.000,338211.75,1.000,348358.10
5300000059,Z100,0,4000,false,ZAR,42.000,18418.49,1.000,18971.04
5300000060,Z100,0,1000,false,ZAR,28.000,185011.42,1.000,190561.76
5300000061,Z100,0,1000,false,ZAR,120.000,90881.76,1.000,93608.21
5300000062,Z100,0,4000,false,ZAR,38.000,35667.47,1.000,36737.49
5300000063,Z100,0,4000,false,ZAR,28.000,66874.61,1.000,68880.85
5300000064,Z100,0,4000,false,ZAR,16.000,498.91,1.000,513.88
5300000065,Z100,0,1000,false,ZAR,105.000,81217.14,1.000,83653.65
5300000066,Z100,0,1000,false,ZAR,122.000,164519.34,1.000,169454.92
5300000067,Z100,0,1000,false,ZAR,51.000,172565.92,1.000,177742.90
5300000068,Z100,0,4000,false,ZAR,128.000,69954.12,1.000,72052.74
5300000069,Z100,0,1000,false,ZAR,21.000,203856.22,1.000,209971.91
5300000070,Z100,0,2000,false,ZAR,7.000,112125.38,1.000,115489.14
5300000071,Z100,0,1000,false,ZAR,60.000,13927.18,1.000,14345.00
5300000072,Z100,0,2000,false,ZAR,60.000,130303.92,1.000,134213.04
5300000073,Z100,0,2000,false,ZAR,129.000,462611.89,1.000,476490.25
5300000074,Z100,0,2000,false,ZAR,62.000,105017.67,1.000,108168.20
5300000075,Z100,0,4000,false,ZAR,28.000,174960.73,1.000,180209.55
5300000076,Z100,0,1000,false,ZAR,145.000,543133.42,1.000,559427.42
5300000077,Z100,0,2000,false,ZAR,83.000,522396.00,1.000,538067.88
5300000078,Z100,0,4000,false,ZAR,26.000,32818.15,1.000,33802.69
5300000079,Z100,0,3000,false,ZAR,151.000,332696.33,1.000,342677.22
5300000080,Z100,0,3000,false,ZAR,7.000,22108.48,1.000,22771.73
5300000081,Z100,0,1000,false,ZAR,100.000,107975.48,1.000,111214.74
5300000082,Z100,0,3000,false,ZAR,79.000,38295.72,1.000,39444.59
5300000083,Z100,0,3000,false,ZAR,134.000,23419.33,1.000,24121.91
5300000084,Z100,0,1000,false,ZAR,10.000,364965.65,1.000,375914.62
5300000085,Z100,0,1000,false,ZAR,56.000,107285.04,1.000,110503.59
5300000086,Z100,0,1000,false,ZAR,34.000,197614.07,1.000,203542.49
5300000087,Z100,0,2000,false,ZAR,16.000,59241.07,1.000,61018.30
5300000088,Z100,0,2000,false,ZAR,46.000,79639.91,1.000,82029.11
5300000089,Z100,0,4000,false,ZAR,23.000,51992.79,1.000,53552.57
5300000090,Z100,0,4000,false,ZAR,101.000,140681.60,1.000,144902.05
5300000091,Z100,0,3000,false,ZAR,54.000,2584.02,1.000,2661.54
5300000092,Z100,0,3000,false,ZAR,36.000,117511.25,1.000,121036.59
5300000093,Z100,0,1000,false,ZAR,113.000,805256.91,1.000,829414.62
5300000094,Z100,0,4000,false,ZAR,68.000,38003.03,1.000,39143.12
5300000095,Z100,0,2000,false,ZAR,38.000,28553.76,1.000,29410.37
5300000096,Z100,0,4000,false,ZAR,65.000,22857.27,1.000,23542.99
5300000097,Z100,0,4000,false,ZAR,97.000,11665.05,1.000,12015.00
5300000098,Z100,0,2000,false,ZAR,125.000,89567.42,1.000,92254.44
5300000099,Z100,0,1000,false,ZAR,55.000,342861.45,1.000,353147.29
5300000100,Z100,0,2000,false,ZAR,18.000,280622.27,1.000,289040.94
5300000101,Z100,0,1000,false,ZAR,88.000,80605.95,1.000,83024.13
5300000102,Z100,0,2000,false,ZAR,72.000,702785.26,1.000,723868.82
5300000103,Z100,0,3000,false,ZAR,12.000,399824.20,1.000,411818.93
5300000104,Z100,0,2000,false,ZAR,37.000,163539.50,1.000,168445.68
5300000105,Z100,0,1000,false,ZAR,31.000,108732.46,1.000,111994.43
5300000106,Z100,0,4000,false,ZAR,15.000,79019.08,1.000,81389.65
5300000107,Z100,0,3000,false,ZAR,46.000,198171.29,1.000,204116.43
5300000108,Z100,0,3000,false,ZAR,51.000,33361.04,1.000,34361.87
5300000109,Z100,0,1000,false,ZAR,68.000,131081.84,1.000,135014.30
5300000110,Z100,0,4000,false,ZAR,18.000,6478.45,1.000,6672.80
5300000111,Z100,0,2000,false,ZAR,18.000,4473.71,1.000,4607.92
5300000112,Z100,0,2000,false,ZAR,42.000,187000.45,1.000,192610.46
5300000113,Z100,0,3000,false,ZAR,48.000,38476.51,1.000,39630.81
5300000114,Z100,0,1000,false,ZAR,56.000,19509.89,1.000,20095.19
5300000115,Z100,0,2000,false,ZAR,45.000,58917.87,1.000,60685.41
5300000116,Z100,0,2000,false,ZAR,21.000,63926.64,1.000,65844.44
5300000117,Z100,0,1000,false,ZAR,13.000,15489.44,1.000,15954.12
5300000118,Z100,0,2000,false,ZAR,56.000,456024.47,1.000,469705.20
5300000119,Z100,0,2000,false,ZAR,57.000,103557.39,1.000,106664.11
5300000120,Z100,0,1000,false,ZAR,27.000,341819.06,1.000,352073.63
5300000121,Z100,0,1000,false,ZAR,11.000,76458.38,1.000,78752.13
5300000122,Z100,0,2000,false,ZAR,31.000,59663.12,1.000,61453.01
5300000123,Z100,0,1000,false,ZAR,34.000,154562.18,1.000,159199.05
5300000124,Z100,0,1000,false,ZAR,131.000,66530.59,1.000,68526.51
5300000125,Z100,0,3000,false,ZAR,59.000,13755.61,1.000,14168.28
5300000126,Z100,0,3000,false,ZAR,95.000,374563.71,1.000,385800.62
5300000127,Z100,0,4000,false,ZAR,81.000,88991.71,1.000,91661.46
5300000128,Z100,0,1000,false,ZAR,26.000,46057.30,1.000,47439.02
5300000129,Z100,0,3000,false,ZAR,53.000,1985.22,1.000,2044.78
5300000130,Z100,0,2000,false,ZAR,46.000,152717.23,1.000,157298.75
5300000131,Z100,0,2000,false,ZAR,69.000,339250.43,1.000,349427.94
5300000132,Z100,0,2000,false,ZAR,7.000,424201.56,1.000,436927.61
5300000133,Z100,0,3000,false,ZAR,123.000,793670.71,1.000,817480.83
5300000134,Z100,0,3000,false,ZAR,46.000,126374.10,1.000,130165.32
5300000135,Z100,0,1000,false,ZAR,105.000,154649.41,1.000,159288.89
5300000136,Z100,0,2000,false,ZAR,55.000,5315.89,1.000,5475.37
5300000137,Z100,0,4000,false,ZAR,122.000,60508.33,1.000,62323.58
5300000138,Z100,0,2000,false,ZAR,103.000,38082.57,1.000,39225.05
5300000139,Z100,0,4000,false,ZAR,16.000,93702.48,1.000,96513.55
5300000140,Z100,0,3000,false,ZAR,205.000,680993.99,1.000,701423.81
5300000141,Z100,0,3000,false,ZAR,47.000,62164.13,1.000,64029.05
5300000142,Z100,0,3000,false,ZAR,56.000,387692.21,1.000,399322.98
5300000143,Z100,0,4000,false,ZAR,12.000,77573.60,1.000,79900.81
5300000144,Z100,0,2000,false,ZAR,44.000,34752.76,1.000,35795.34
5300000145,Z100,0,2000,false,ZAR,33.000,38817.42,1.000,39981.94
5300000146,Z100,0,2000,false,ZAR,28.000,98576.37,1.000,101533.66
5300000147,Z100,0,1000,false,ZAR,58.000,57222.51,1.000,58939.19
5300000148,Z100,0,4000,false,ZAR,31.000,374659.93,1.000,385899.73
5300000149,Z100,0,2000,false,ZAR,113.000,96771.62,1.000,99674.77
5300000150,Z100,0,2000,false,ZAR,60.000,94914.74,1.000,97762.18
5300000151,Z100,0,4000,false,ZAR,72.000,129506.23,1.000,133391.42
5300000152,Z100,0,3000,false,ZAR,28.000,76611.48,1.000,78909.82
5300000153,Z100,0,1000,false,ZAR,50.000,113596.32,1.000,117004.21
5300000154,Z100,0,3000,false,ZAR,11.000,93984.16,1.000,96803.68
5300000155,Z100,0,3000,false,ZAR,36.000,74920.47,1.000,77168.08
5300000156,Z100,0,4000,false,ZAR,147.000,623594.65,1.000,642302.49
5300000157,Z100,0,4000,false,ZAR,11.000,153389.07,1.000,157990.74
5300000158,Z100,0,4000,false,ZAR,129.000,510737.43,1.000,526059.55
5300000159,Z100,0,2000,false,ZAR,59.000,142726.55,1.000,147008.35
5300000160,Z100,0,1000,false,ZAR,14.000,6240.54,1.000,6427.76
5300000161,Z100,0,3000,false,ZAR,22.000,5498.28,1.000,5663.23
5300000162,Z100,0,4000,false,ZAR,66.000,4734.30,1.000,4876.33
5300000163,Z100,0,1000,false,ZAR,8.000,172429.43,1.000,177602.31
5300000164,Z100,0,4000,false,ZAR,139.000,277067.52,1.000,285379.55
5300000165,Z100,0,2000,false,ZAR,63.000,19124.74,1.000,19698.48
5300000166,Z100,0,4000,false,ZAR,26.000,123736.97,1.000,127449.08
5300000167,Z100,0,2000,false,ZAR,236.000,155118.11,1.000,159771.65
5300000168,Z100,0,4000,false,ZAR,31.000,21645.82,1.000,22295.19
5300000169,Z100,0,1000,false,ZAR,22.000,48600.22,1.000,50058.23
5300000170,Z100,0,3000,false,ZAR,53.000,133536.95,1.000,137543.06
5300000171,Z100,0,1000,false,ZAR,41.000,134853.27,1.000,138898.87
5300000172,Z100,0,4000,false,ZAR,38.000,316443.49,1.000,325936.79
5300000173,Z100,0,4000,false,ZAR,9.000,97343.72,1.000,100264.03
5300000174,Z100,0,4000,false,ZAR,48.000,41427.96,1.000,42670.80
5300000175,Z100,0,2000,false,ZAR,227.000,109058.54,1.000,112330.30
5300000176,Z100,0,2000,false,ZAR,68.000,54241.01,1.000,55868.24
5300000177,Z100,0,3000,false,ZAR,104.000,380678.18,1.000,392098.53
5300000178,Z100,0,2000,false,ZAR,213.000,70431.74,1.000,72544.69
5300000179,Z100,0,1000,false,ZAR,35.000,2640.69,1.000,2719.91
5300000180,Z100,0,2000,false,ZAR,58.000,104697.50,1.000,107838.43
5300000181,Z100,0,3000,false,ZAR,20.000,13657.84,1.000,14067.58
5300000182,Z100,0,1000,false,ZAR,27.000,173609.43,1.000,178817.71
5300000183,Z100,0,4000,false,ZAR,170.000,175954.33,1.000,181232.96
5300000184,Z100,0,2000,false,ZAR,17.000,12978.95,1.000,13368.32
5300000185,Z100,0,2000,false,ZAR,28.000,9340.19,1.000,9620.40
5300000186,Z100,0,3000,false,ZAR,55.000,161189.51,1.000,166025.20
5300000187,Z100,0,2000,false,ZAR,14.000,154782.27,1.000,159425.74
5300000188,Z100,0,3000,false,ZAR,117.000,74530.37,1.000,76766.28
5300000189,Z100,0,2000,false,ZAR,76.000,320372.41,1.000,329983.58
5300000190,Z100,0,1000,false,ZAR,60.000,169932.19,1.000,175030.16
5300000191,Z100,0,2000,false,ZAR,53.000,22703.58,1.000,23384.69
5300000192,Z100,0,2000,false,ZAR,77.000,453478.83,1.000,467083.19
5300000193,Z100,0,2000,false,ZAR,16.000,145817.45,1.000,150191.97
5300000194,Z100,0,3000,false,ZAR,41.000,132247.80,1.000,136215.23
5300000195,Z100,0,2000,false,ZAR,24.000,34569.33,1.000,35606.41
5300000196,Z100,0,2000,false,ZAR,40.000,7347.92,1.000,7568.36
5300000197,Z100,0,4000,false,ZAR,9.000,17926.51,1.000,18464.31
5300000198,Z100,0,3000,false,ZAR,48.000,99144.38,1.000,102118.71
5300000199,Z100,0,3000,false,ZAR,21.000,364800.15,1.000,375744.15
5300000200,Z100,0,3000,false,ZAR,149.000,453844.35,1.000,467459.68
5300000201,Z100,0,4000,false,ZAR,10.000,92601.75,1.000,95379.80
5300000202,Z100,0,1000,false,ZAR,55.000,122954.44,1.000,126643.07
5300000203,Z100,0,1000,false,ZAR,58.000,747541.53,1.000,769967.78
5300000204,Z100,0,4000,false,ZAR,43.000,63282.81,1.000,65181.29
5300000205,Z100,0,2000,false,ZAR,40.000,12215.82,1.000,12582.29
5300000206,Z100,0,4000,false,ZAR,64.000,7682.83,1.000,7913.31
5300000207,Z100,0,2000,false,ZAR,35.000,11328.41,1.000,11668.26
5300000208,Z100,0,3000,false,ZAR,82.000,45988.83,1.000,47368.49
5300000209,Z100,0,4000,false,ZAR,50.000,168660.72,1.000,173720.54
5300000210,Z100,0,3000,false,ZAR,48.000,710393.61,1.000,731705.42
5300000211,Z100,0,3000,false,ZAR,94.000,124725.99,1.000,128467.77
5300000212,Z100,0,2000,false,ZAR,16.000,124699.30,1.000,128440.28
5300000213,Z100,0,1000,false,ZAR,96.000,163210.17,1.000,168106.48
5300000214,Z100,0,3000,false,ZAR,140.000,34538.33,1.000,35574.48
5300000215,Z100,0,3000,false,ZAR,22.000,72987.56,1.000,75177.19
5300000216,Z100,0,2000,false,ZAR,134.000,382432.90,1.000,393905.89
5300000217,Z100,0,1000,false,ZAR,86.000,79121.67,1.000,81495.32
5300000218,Z100,0,1000,false,ZAR,51.000,105611.51,1.000,108779.86
5300000219,Z100,0,3000,false,ZAR,20.000,118547.94,1.000,122104.38
5300000220,Z100,0,4000,false,ZAR,27.000,14781.70,1.000,15225.15
5300000221,Z100,0,3000,false,ZAR,45.000,68923.39,1.000,70991.09
5300000222,Z100,0,2000,false,ZAR,94.000,118473.33,1.000,122027.53
5300000223,Z100,0,4000,false,ZAR,146.000,773587.75,1.000,796795.38
5300000224,Z100,0,3000,false,ZAR,63.000,400316.09,1.000,412325.57
5300000225,Z100,0,3000,false,ZAR,52.000,89775.76,1.000,92469.03
5300000226,Z100,0,3000,false,ZAR,49.000,18742.27,1.000,19304.54
5300000227,Z100,0,4000,false,ZAR,57.000,422347.93,1.000,435018.37
5300000228,Z100,0,2000,false,ZAR,11.000,267166.33,1.000,275181.32
5300000229,Z100,0,2000,false,ZAR,103.000,49401.99,1.000,50884.05
5300000230,Z100,0,3000,false,ZAR,52.000,75684.93,1.000,77955.48
5300000231,Z100,0,1000,false,ZAR,236.000,155888.86,1.000,160565.53
5300000232,Z100,0,2000,false,ZAR,102.000,356980.23,1.000,367689.64
5300000233,Z100,0,3000,false,ZAR,205.000,163829.78,1.000,168744.67
5300000234,Z100,0,3000,false,ZAR,140.000,61847.96,1.000,63703.40
5300000235,Z100,0,4000,false,ZAR,35.000,306464.34,1.000,315658.27
5300000236,Z100,0,1000,false,ZAR,90.000,19055.45,1.000,19627.11
