Infnr,Matnr,Lifnr,Loekz
5300000000,000000000080000000,0001000044,false
5300000001,000000000030000001,0001000034,false
5300000002,000000000010000010,0001000013,false
5300000003,000000000010000012,0001000026,false
5300000004,000000000010000015,0001000001,false
5300000005,000000000010000017,0001000010,false
5300000006,000000000090000000,0001000050,false
5300000007,000000000010000025,0001000027,false
5300000008,000000000010000026,0001000046,false
5300000009,000000000010000029,0001000007,false
5300000010,000000000030000004,0001000033,false
5300000011,000000000010000031,0001000033,false
5300000012,000000000010000032,0001000051,false
5300000013,000000000010000033,0001000055,false
5300000014,000000000010000036,0001000045,false
5300000015,000000000010000037,0001000027,false
5300000016,000000000090000001,0001000059,false
5300000017,000000000010000038,0001000034,false
5300000018,000000000080000007,0001000008,false
5300000019,000000000010000039,0001000023,false
5300000020,000000000030000006,0001000003,false
5300000021,000000000010000047,0001000003,false
5300000022,000000000010000058,0001000055,false
5300000023,000000000010000060,0001000033,false
5300000024,000000000030000010,0001000022,false
5300000025,000000000030000011,0001000010,false
5300000026,000000000010000064,0001000055,false
5300000027,000000000080000016,0001000040,false
5300000028,000000000010000068,0001000039,false
5300000029,000000000010000069,0001000058,false
5300000030,000000000010000074,0001000054,false
5300000031,000000000030000012,0001000007,false
5300000032,000000000010000078,0001000045,false
5300000033,000000000010000081,0001000019,false
5300000034,000000000010000083,0001000059,false
5300000035,000000000010000084,0001000015,false
5300000036,000000000010000085,0001000031,false
5300000037,000000000010000086,0001000003,false
5300000038,000000000010000087,0001000031,false
5300000039,000000000010000091,0001000003,false
5300000040,000000000010000092,0001000010,false
5300000041,000000000010000093,0001000023,false
5300000042,000000000010000098,0001000049,false
5300000043,000000000010000101,0001000021,false
5300000044,000000000010000102,0001000037,false
5300000045,000000000010000103,0001000007,false
5300000046,000000000030000019,0001000057,false
5300000047,000000000030000020,0001000058,false
5300000048,000000000010000115,0001000047,false
5300000049,000000000010000118,0001000034,false
5300000050,000000000030000022,0001000059,false
5300000051,000000000080000026,0001000048,false
5300000052,000000000010000125,0001000033,false
5300000053,000000000010000127,0001000037,false
5300000054,000000000010000128,0001000050,false
5300000055,000000000010000132,0001000041,false
5300000056,000000000010000133,0001000049,false
5300000057,000000000010000136,0001000022,false
5300000058,000000000080000028,0001000004,false
5300000059,000000000010000141,0001000027,false
5300000060,000000000080000030,0001000000,false
5300000061,000000000010000143,0001000007,false
5300000062,000000000010000146,0001000013,false
5300000063,000000000010000148,0001000013,false
5300000064,000000000010000149,0001000050,false
5300000065,000000000010000150,0001000046,false
5300000066,000000000010000152,0001000017,false
5300000067,000000000010000154,0001000019,false
5300000068,000000000010000156,0001000014,false
5300000069,000000000080000034,0001000044,false
5300000070,000000000010000157,0001000001,false
5300000071,000000000030000024,0001000055,false
5300000072,000000000010000162,0001000019,false
5300000073,000000000080000037,0001000044,false
5300000074,000000000010000165,0001000034,false
5300000075,000000000010000169,0001000006,false
5300000076,000000000010000172,0001000014,false
5300000077,000000000030000027,0001000013,false
5300000078,000000000010000175,0001000058,false
5300000079,000000000010000178,0001000049,false
5300000080,000000000030000030,0001000023,false
5300000081,000000000010000183,0001000018,false
5300000082,000000000010000192,0001000043,false
5300000083,000000000010000193,0001000029,false
5300000084,000000000080000042,0001000044,false
5300000085,000000000010000194,0001000045,false
5300000086,000000000080000044,0001000004,false
5300000087,000000000010000196,0001000002,false
5300000088,000000000090000007,0001000013,false
5300000089,000000000080000046,0001000032,false
5300000090,000000000010000200,0001000025,false
5300000091,000000000010000201,0001000043,false
5300000092,000000000010000204,0001000026,false
5300000093,000000000010000205,0001000027,false
5300000094,000000000030000037,0001000010,false
5300000095,000000000010000209,0001000009,false
5300000096,000000000010000216,0001000018,false
5300000097,000000000010000218,0001000046,false
5300000098,000000000010000219,0001000002,false
5300000099,000000000080000053,0001000020,false
5300000100,000000000080000054,0001000036,false
5300000101,000000000030000040,0001000050,false
5300000102,000000000010000221,0001000026,false
5300000103,000000000080000055,0001000012,false
5300000104,000000000010000222,0001000011,false
5300000105,000000000010000223,0001000013,false
5300000106,000000000030000042,0001000034,false
5300000107,000000000080000056,0001000024,false
5300000108,000000000090000013,0001000003,false
5300000109,000000000080000057,0001000056,false
5300000110,000000000010000228,0001000009,false
5300000111,000000000030000045,0001000003,false
5300000112,000000000010000232,0001000043,false
5300000113,000000000030000046,0001000030,false
5300000114,000000000010000239,0001000011,false
5300000115,000000000030000049,0001000034,false
5300000116,000000000010000247,0001000001,false
5300000117,000000000010000249,0001000050,false
5300000118,000000000080000060,0001000008,false
5300000119,000000000080000061,0001000052,false
5300000120,000000000080000062,0001000056,false
5300000121,000000000010000251,0001000002,false
