Matnr,Spras,Maktx
000000000010000000,EN,Gearbox Bearing 55KW SKF
000000000010000001,EN,Mill Liner 200MM SKF
000000000080000000,EN,Thickener Rake Seal Kit DN150 METSO
000000000010000002,EN,PLC Digital Output Card TYPE B SKF
000000000030000000,EN,Hydraulic Power Pack 8/6 SKF
000000000010000003,EN,Apron Feeder Gear Reducer 6/4 ABB
000000000080000001,EN,Level Radar Transmitter DN100 FLSM
000000000010000004,EN,Thickener Rake Drive Gearbox TYPE B
000000000010000005,EN,Crusher Hydroset Cylinder TYPE B SANDVIK
000000000010000006,EN,Pressure Transmitter Assembly 10/8 METSO
000000000030000001,EN,Mill Liner 10/8 METSO
000000000010000007,EN,Level Radar Transmitter HD METSO
000000000010000008,EN,PLC Digital Output Card 6/4 KSB
000000000080000002,EN,Pressure Transmitter Assembly TYPE A
000000000080000003,EN,Ventilation Fan Motor TYPE B SEW
000000000010000009,EN,Conveyor Drive Motor TYPE A ABB
000000000030000002,EN,Thickener Rake Drive Gearbox 150MM FLSM
000000000010000010,EN,Skirt Rubber Liner Section 8/6 METSO
000000000030000003,EN,Valve Assembly HD SIEMENS
000000000010000011,EN,Soft Starter Power Module 10/8
000000000010000012,EN,Gland Packing Seal Ring 10/8 SEW
000000000010000013,EN,Pump Impeller TYPE A KSB
000000000010000014,EN,Ball Mill Trunnion Bearing 200MM ABB
000000000010000015,EN,Conveyor Idler Roller Set 250KW SANDVIK
000000000010000016,EN,Level Radar Transmitter 55KW SEW
000000000010000017,EN,Mill Lube Pump Motor 200MM WEIR
000000000010000018,EN,Conveyor Idler Roller Set TYPE B ABB
000000000010000019,EN,Crusher Main Shaft Bearing 55KW FLSM
000000000010000020,EN,Slurry Pump Mechanical Seal 250MM KSB
000000000010000021,EN,Ball Mill Shell Liner Plate 6/4 SANDVIK
000000000090000000,EN,Pressure Transmitter Assembly 110KW
000000000010000022,EN,Thickener Rake Seal Kit 150MM KSB
000000000010000023,EN,Flow Meter Sensor Head 8/6 ABB
