Matnr,Werks,Lvorm,Dismm,Dispo,Plifz,Webaz,Minbe,Eisbe,Bstmi,Bstma,Mabst
000000000010000000,1000,false,VB,002,58.000,0.000,36.087,6.202,23.875,143.250,152.999
000000000010000001,1000,false,VB,010,33.000,0.000,12.408,2.532,16.042,96.250,117.512
000000000010000001,2000,false,VB,009,33.000,2.000,41.138,8.855,21.500,129.000,129.327
000000000080000000,3000,false,VB,003,125.000,0.000,10.638,5.882,1.583,9.500,16.954
000000000010000002,4000,false,VB,002,17.000,2.000,3.698,2.676,1.375,8.250,7.342
000000000010000002,2000,false,VB,008,17.000,1.000,5.226,3.902,1.333,8.000,9.524
000000000030000000,4000,false,PD,009,48.000,0.000,0.000,0.000,1.667,10.000,0.000
000000000030000000,1000,false,ND,008,48.000,2.000,0.000,0.000,1.000,3.750,0.000
000000000010000003,1000,false,VB,001,65.000,1.000,0.000,0.000,1.000,1.000,0.000
000000000080000001,1000,false,VB,005,49.000,1.000,9.258,4.563,2.708,16.250,19.717
000000000080000001,4000,false,VB,005,49.000,1.000,7.884,4.299,1.542,9.250,10.728
000000000010000004,3000,false,VB,005,19.000,1.000,45.337,11.211,40.167,241.000,133.338
000000000010000005,1000,false,VB,002,87.000,2.000,123.573,30.978,24.792,148.750,287.080
000000000010000006,1000,false,VB,008,208.000,3.000,4.956,1.845,1.000,5.000,10.146
000000000030000001,1000,false,ND,008,23.000,3.000,0.000,0.000,1.292,7.750,0.000
000000000010000007,3000,false,VB,005,56.000,3.000,18.973,11.696,2.250,13.500,18.973
000000000010000008,4000,false,VB,009,199.000,3.000,34.269,12.583,2.000,12.000,34.269
000000000080000002,3000,false,VB,006,36.000,2.000,4.546,3.241,1.708,10.250,10.283
000000000080000003,4000,false,VB,007,58.000,3.000,10.469,6.395,2.167,13.000,25.946
000000000010000009,3000,false,VB,001,176.000,2.000,4.979,2.750,1.000,2.000,8.375
000000000030000002,3000,false,ND,007,10.000,1.000,0.000,0.000,1.000,5.750,0.000
000000000010000010,1000,false,VB,003,34.000,2.000,0.000,0.000,1.000,1.000,0.000
000000000030000003,4000,false,ND,003,25.000,0.000,0.000,0.000,1.042,6.250,0.000
000000000030000003,1000,false,PD,007,25.000,3.000,0.000,0.000,1.833,11.000,0.000
000000000010000011,4000,false,VB,006,12.000,2.000,36.305,13.585,35.250,211.500,180.072
