Matnr,Lvorm,Mtart,Matkl,Bismt,Meins,Mstae,Sernp
000000000010000000,false,ERSA,MECH-BRG,ELL132938,EA,,
000000000010000001,false,ERSA,MILL-LINR,,EA,,
000000000080000000,false,ERSA,MECH-SEAL,,EA,,
000000000010000002,false,ERSA,ELEC-CTRL,,EA,,
000000000030000000,false,HIBE,HYDR-ASSY,,EA,,
000000000010000003,false,ERSA,MECH-GBOX,,EA,,
000000000080000001,false,HIBE,INST-XMTR,,EA,,
000000000010000004,false,ERSA,MECH-GBOX,,EA,,
000000000010000005,false,ERSA,HYDR-ASSY,,EA,,
000000000010000006,false,ERSA,INST-XMTR,,EA,,
000000000030000001,false,HIBE,MILL-LINR,,EA,,
000000000010000007,false,ERSA,INST-XMTR,ELL102689,EA,,
000000000010000008,false,ERSA,ELEC-CTRL,,EA,,
000000000080000002,false,ERSA,INST-XMTR,ELL499889,EA,,
000000000080000003,false,HIBE,ELEC-MOTR,,EA,,Z00R
000000000010000009,false,ERSA,ELEC-MOTR,ELL818987,EA,,
000000000030000002,false,ERSA,MECH-GBOX,,EA,,
000000000010000010,false,ERSA,CONV-COMP,,EA,,
000000000030000003,false,ERSA,HYDR-ASSY,,EA,,
000000000010000011,false,ERSA,ELEC-CTRL,,EA,,
000000000010000012,false,ERSA,MECH-SEAL,,EA,,
000000000010000013,false,ERSA,MECH-PUMP,,EA,,
000000000010000014,false,HIBE,MECH-BRG,,EA,,
000000000010000015,false,ERSA,CONV-COMP,,EA,,
000000000010000016,false,ERSA,INST-XMTR,,EA,,
000000000010000017,false,HIBE,ELEC-MOTR,ELL372933,EA,,
000000000010000018,false,ERSA,CONV-COMP,,EA,,
000000000010000019,false,HIBE,MECH-BRG,,EA,,
000000000010000020,false,ERSA,MECH-SEAL,,EA,,
000000000010000021,false,ERSA,MILL-LINR,ELL753516,EA,,
000000000090000000,false,ERSA,INST-XMTR,,EA,01,
000000000010000022,false,ERSA,MECH-SEAL,,EA,,
000000000010000023,false,HIBE,INST-XMTR,,EA,,
000000000080000004,false,ERSA,ELEC-MOTR,,EA,,
