Matnr,Bwkey,Lbkum,Salk3,Vprsv,Verpr,Stprs,Peinh,Bklas
000000000010000000,1000,107.000,5927064.91,V,55393.13,0.00,1.000,3200
000000000010000001,1000,32.000,393450.88,V,12295.34,0.00,1.000,3200
000000000010000001,2000,26.000,319678.84,V,12295.34,0.00,1.000,3200
000000000080000000,3000,12.000,3094634.04,V,257886.17,0.00,1.000,3200
000000000010000002,4000,6.000,852278.10,V,142046.35,0.00,1.000,3200
000000000010000002,2000,7.000,994324.45,V,142046.35,0.00,1.000,3200
000000000030000000,4000,6.000,745443.60,V,124240.60,0.00,1.000,3200
000000000030000000,1000,1.000,124240.60,V,124240.60,0.00,1.000,3200
000000000010000003,1000,0.000,0.00,V,135733.75,0.00,1.000,3200
000000000080000001,1000,5.000,345937.30,V,69187.46,0.00,1.000,3200
000000000080000001,4000,11.000,761062.06,V,69187.46,0.00,1.000,3200
000000000010000004,3000,93.000,524957.10,V,5644.70,0.00,1.000,3200
000000000010000005,1000,75.000,1705504.50,V,22740.06,0.00,1.000,3200
000000000010000006,1000,3.000,834205.17,V,278068.39,0.00,1.000,3200
000000000030000001,1000,1.000,59204.37,V,59204.37,0.00,1.000,3200
000000000010000007,3000,18.000,2565289.80,V,142516.10,0.00,1.000,3200
000000000010000008,4000,42.000,575950.20,V,13713.10,0.00,1.000,3200
000000000080000002,3000,5.000,1917403.45,V,383480.69,0.00,1.000,3200
000000000080000003,4000,25.000,1738074.25,V,69522.97,0.00,1.000,3200
000000000010000009,3000,4.000,323512.84,V,80878.21,0.00,1.000,3200
000000000030000002,3000,6.000,144758.40,V,24126.40,0.00,1.000,3200
000000000010000010,1000,0.000,0.00,V,57285.46,0.00,1.000,3200
000000000030000003,4000,0.000,0.00,V,108673.20,0.00,1.000,3200
000000000030000003,1000,5.000,543366.00,V,108673.20,0.00,1.000,3200
000000000010000011,4000,32.000,354776.96,V,11086.78,0.00,1.000,3200
000000000010000012,3000,1.000,11526.72,V,11526.72,0.00,1.000,3200
000000000010000012,2000,9.000,103740.48,V,11526.72,0.00,1.000,3200
000000000010000013,4000,5.000,332637.25,V,66527.45,0.00,1.000,3200
000000000010000014,4000,0.000,0.00,V,8337.12,0.00,1.000,3200
000000000010000014,2000,0.000,0.00,V,8337.12,0.00,1.000,3200
000000000010000015,4000,171.000,100703310.75,V,588908.25,0.00,1.000,3200
000000000010000015,1000,135.000,79502613.75,V,588908.25,0.00,1.000,3200
000000000010000016,2000,36.000,81997.20,V,2277.70,0.00,1.000,3200
000000000010000017,2000,0.000,0.00,V,93917.53,0.00,1.000,3200
000000000010000018,2000,6.000,78549.78,V,13091.63,0.00,1.000,3200
000000000010000019,3000,3.000,91233.30,V,30411.10,0.00,1.000,3200
000000000010000020,3000,27.000,2278879.11,V,84402.93,0.00,1.000,3200
000000000010000021,1000,11.000,108271.02,V,9842.82,0.00,1.000,3200
000000000090000000,4000,11.000,537868.98,V,48897.18,0.00,1.000,3200
000000000010000022,4000,205.000,828271.75,V,4040.35,0.00,1.000,3200
000000000010000023,3000,18.000,162159.66,V,9008.87,0.00,1.000,3200
000000000080000004,2000,21.000,9296434.77,V,442687.37,0.00,1.000,3200
000000000010000024,2000,0.000,0.00,V,134970.67,0.00,1.000,3200
000000000010000025,2000,104.000,49870731.04,V,479526.26,0.00,1.000,3200
000000000010000026,2000,0.000,0.00,V,155061.15,0.00,1.000,3200
000000000010000026,1000,1.000,155061.15,V,155061.15,0.00,1.000,3200
