Ebeln,Ebelp,Zekkn,Vgabe,Gjahr,Belnr,Buzei,Bewtp,Bwart,Budat,Menge,Dmbtr,Shkzg,Cpudt,Matnr,Werks
4500000000,00010,01,1,2025,4900000004,0001,E,101,2025-01-09T00:00:00,119.000,6591782.47,S,2025-01-09T00:00:00,000000000010000000,1000
4500000000,00010,01,2,2025,5100000000,0001,Q,,2025-01-14T00:00:00,119.000,6591782.47,S,2025-01-15T00:00:00,000000000010000000,1000
4500000001,00010,01,1,2025,4900000010,0001,E,101,2025-06-29T00:00:00,139.000,7699645.07,S,2025-06-29T00:00:00,000000000010000000,1000
4500000001,00010,01,2,2025,5100000001,0001,Q,,2025-07-15T00:00:00,139.000,7699645.07,S,2025-07-26T00:00:00,000000000010000000,1000
4500000002,00010,01,1,2026,4900000017,0001,E,101,2026-01-14T00:00:00,133.000,7367286.29,S,2026-01-14T00:00:00,000000000010000000,1000
4500000002,00010,01,2,2026,5100000002,0001,Q,,2026-02-03T00:00:00,133.000,7367286.29,S,2026-01-19T00:00:00,000000000010000000,1000
4500000003,00010,01,1,2026,4900000024,0001,E,101,2026-08-17T00:00:00,131.000,7256500.03,S,2026-08-17T00:00:00,000000000010000000,1000
4500000003,00010,01,2,2026,5100000003,0001,Q,,2026-08-28T00:00:00,131.000,7256500.03,S,2026-08-30T00:00:00,000000000010000000,1000
4500000004,00010,01,1,2024,4900000029,0001,E,101,2024-12-04T00:00:00,113.000,1389373.42,S,2024-12-04T00:00:00,000000000010000001,1000
4500000006,00010,01,1,2025,4900000037,0001,E,101,2025-07-19T00:00:00,74.000,909855.16,S,2025-07-19T00:00:00,000000000010000001,1000
4500000006,00010,01,2,2025,5100000004,0001,Q,,2025-08-10T00:00:00,74.000,909855.16,S,2025-07-27T00:00:00,000000000010000001,1000
4500000008,00010,01,1,2026,4900000044,0001,E,101,2026-03-11T00:00:00,118.000,1450850.12,S,2026-03-11T00:00:00,000000000010000001,1000
4500000009,00010,01,1,2024,4900000054,0001,E,101,2024-12-14T00:00:00,103.000,1266420.02,S,2024-12-14T00:00:00,000000000010000001,2000
