Ebeln,Ebelp,Etenr,Eindt,Menge,Wemng
4500000000,00010,0001,2025-01-03T00:00:00,119.000,119.000
4500000001,00010,0001,2025-06-30T00:00:00,139.000,139.000
4500000002,00010,0001,2026-01-17T00:00:00,133.000,133.000
4500000003,00010,0001,2026-07-27T00:00:00,131.000,131.000
4500000004,00010,0001,2024-12-07T00:00:00,113.000,113.000
4500000005,00010,0001,2025-06-05T00:00:00,107.000,0.000
4500000006,00010,0001,2025-07-23T00:00:00,118.000,74.000
4500000007,00010,0001,2026-02-06T00:00:00,115.000,0.000
4500000008,00010,0001,2026-03-13T00:00:00,118.000,118.000
4500000009,00010,0001,2024-12-14T00:00:00,103.000,103.000
4500000010,00010,0001,2025-05-20T00:00:00,100.000,54.000
4500000011,00010,0001,2025-07-21T00:00:00,92.000,92.000
4500000012,00010,0001,2025-12-21T00:00:00,93.000,93.000
4500000013,00010,0001,2026-05-11T00:00:00,101.000,101.000
4500000014,00010,0001,2026-10-10T00:00:00,103.000,0.000
4500000015,00010,0001,2025-01-18T00:00:00,11.000,0.000
4500000016,00010,0001,2025-02-25T00:00:00,15.000,0.000
4500000017,00010,0001,2025-03-20T00:00:00,15.000,15.000
4500000018,00010,0001,2025-09-19T00:00:00,7.000,4.000
4500000019,00010,0001,2025-12-15T00:00:00,11.000,0.000
4500000020,00010,0001,2026-01-14T00:00:00,11.000,11.000
4500000021,00010,0001,2024-11-06T00:00:00,4.000,4.000
4500000022,00010,0001,2025-03-01T00:00:00,5.000,5.000
4500000023,00010,0001,2025-04-26T00:00:00,4.000,4.000
4500000024,00010,0001,2025-06-28T00:00:00,4.000,0.000
4500000025,00010,0001,2025-08-11T00:00:00,7.000,7.000
4500000026,00010,0001,2026-02-22T00:00:00,6.000,6.000
4500000027,00010,0001,2026-04-18T00:00:00,5.000,5.000
4500000028,00010,0001,2024-10-17T00:00:00,5.000,0.000
4500000029,00010,0001,2024-11-21T00:00:00,9.000,9.000
4500000030,00010,0001,2025-01-22T00:00:00,8.000,8.000
4500000031,00010,0001,2025-06-02T00:00:00,5.000,3.000
4500000032,00010,0001,2025-09-12T00:00:00,5.000,5.000
4500000033,00010,0001,2026-05-27T00:00:00,9.000,9.000
4500000034,00010,0001,2024-10-30T00:00:00,13.000,0.000
4500000035,00010,0001,2024-12-19T00:00:00,19.000,19.000
4500000036,00010,0001,2025-05-16T00:00:00,13.000,7.000
4500000037,00010,0001,2025-08-23T00:00:00,14.000,14.000
4500000038,00010,0001,2025-12-22T00:00:00,16.000,16.000
4500000039,00010,0001,2026-09-14T00:00:00,15.000,0.000
4500000040,00010,0001,2024-11-02T00:00:00,10.000,10.000
4500000041,00010,0001,2025-04-10T00:00:00,7.000,7.000
4500000042,00010,0001,2025-06-21T00:00:00,6.000,6.000
4500000043,00010,0001,2025-10-24T00:00:00,8.000,8.000
4500000044,00010,0001,2026-07-05T00:00:00,8.000,8.000
4500000045,00010,0001,2024-12-15T00:00:00,100.000,100.000
4500000046,00010,0001,2025-03-19T00:00:00,105.000,105.000
4500000047,00010,0001,2025-05-28T00:00:00,116.000,116.000
4500000048,00010,0001,2025-08-02T00:00:00,91.000,91.000
4500000049,00010,0001,2025-10-26T00:00:00,108.000,108.000
4500000050,00010,0001,2026-02-03T00:00:00,113.000,113.000
4500000051,00010,0001,2026-04-09T00:00:00,100.000,100.000
4500000052,00010,0001,2026-08-18T00:00:00,101.000,101.000
4500000053,00010,0001,2024-12-06T00:00:00,189.000,0.000
4500000054,00010,0001,2025-01-24T00:00:00,200.000,200.000
4500000055,00010,0001,2025-07-18T00:00:00,169.000,169.000
4500000056,00010,0001,2026-01-17T00:00:00,177.000,177.000
4500000057,00010,0001,2026-10-12T00:00:00,181.000,0.000
4500000058,00010,0001,2025-07-11T00:00:00,7.000,7.000
4500000059,00010,0001,2026-07-02T00:00:00,7.000,7.000
4500000060,00010,0001,2027-03-06T00:00:00,7.000,0.000
4500000061,00010,0001,2025-04-19T00:00:00,15.000,0.000
4500000062,00010,0001,2025-05-01T00:00:00,22.000,22.000
4500000063,00010,0001,2026-01-12T00:00:00,15.000,15.000
4500000064,00010,0001,2026-05-08T00:00:00,14.000,0.000
4500000065,00010,0001,2026-06-23T00:00:00,16.000,16.000
4500000066,00010,0001,2026-09-15T00:00:00,26.000,0.000
4500000067,00010,0001,2025-04-17T00:00:00,17.000,17.000
4500000068,00010,0001,2025-11-24T00:00:00,18.000,0.000
4500000069,00010,0001,2025-12-22T00:00:00,21.000,21.000
4500000070,00010,0001,2026-08-06T00:00:00,18.000,18.000
4500000071,00010,0001,2024-11-10T00:00:00,10.000,10.000
4500000072,00010,0001,2025-04-07T00:00:00,6.000,6.000
4500000073,00010,0001,2025-07-05T00:00:00,7.000,7.000
4500000074,00010,0001,2026-06-01T00:00:00,8.000,0.000
4500000075,00010,0001,2026-06-28T00:00:00,8.000,8.000
4500000076,00010,0001,2024-11-05T00:00:00,16.000,0.000
4500000077,00010,0001,2025-01-06T00:00:00,23.000,23.000
4500000078,00010,0001,2026-03-03T00:00:00,19.000,19.000
4500000079,00010,0001,2026-06-25T00:00:00,19.000,0.000
4500000080,00010,0001,2026-07-17T00:00:00,24.000,24.000
4500000081,00010,0001,2025-04-03T00:00:00,4.000,0.000
4500000082,00010,0001,2025-04-26T00:00:00,4.000,0.000
4500000083,00010,0001,2025-05-13T00:00:00,4.000,3.000
4500000084,00010,0001,2025-11-06T00:00:00,4.000,4.000
4500000085,00010,0001,2026-11-27T00:00:00,4.000,0.000
4500000086,00010,0001,2024-12-21T00:00:00,175.000,175.000
4500000087,00010,0001,2025-05-03T00:00:00,147.000,108.000
4500000088,00010,0001,2025-08-08T00:00:00,148.000,148.000
4500000089,00010,0001,2025-11-22T00:00:00,151.000,151.000
4500000090,00010,0001,2026-03-24T00:00:00,156.000,156.000
4500000091,00010,0001,2026-09-11T00:00:00,148.000,0.000
4500000092,00010,0001,2025-10-13T00:00:00,2.000,2.000
4500000093,00010,0001,2025-12-07T00:00:00,3.000,0.000
4500000094,00010,0001,2025-12-29T00:00:00,4.000,4.000
4500000095,00010,0001,2026-06-28T00:00:00,2.000,2.000
4500000096,00010,0001,2026-08-31T00:00:00,3.000,0.000
4500000097,00010,0001,2026-10-05T00:00:00,3.000,0.000
4500000098,00010,0001,2024-11-29T00:00:00,5.000,5.000
4500000099,00010,0001,2025-04-22T00:00:00,5.000,5.000
4500000100,00010,0001,2026-03-29T00:00:00,4.000,4.000
4500000101,00010,0001,2026-08-05T00:00:00,5.000,0.000
4500000102,00010,0001,2026-08-29T00:00:00,8.000,8.000
4500000103,00010,0001,2024-10-29T00:00:00,4.000,4.000
4500000104,00010,0001,2025-02-08T00:00:00,3.000,3.000
4500000105,00010,0001,2025-11-23T00:00:00,3.000,3.000
4500000106,00010,0001,2025-12-30T00:00:00,3.000,0.000
4500000107,00010,0001,2026-01-22T00:00:00,3.000,0.000
4500000108,00010,0001,2026-03-09T00:00:00,3.000,0.000
4500000109,00010,0001,2026-03-24T00:00:00,4.000,4.000
4500000110,00010,0001,2026-07-09T00:00:00,4.000,4.000
4500000111,00010,0001,2024-11-30T00:00:00,132.000,132.000
4500000112,00010,0001,2025-02-24T00:00:00,97.000,97.000
4500000113,00010,0001,2025-07-05T00:00:00,103.000,103.000
4500000114,00010,0001,2025-11-08T00:00:00,95.000,95.000
4500000115,00010,0001,2026-01-27T00:00:00,96.000,0.000
4500000116,00010,0001,2026-02-22T00:00:00,135.000,135.000
4500000117,00010,0001,2026-06-22T00:00:00,93.000,93.000
4500000118,00010,0001,2026-09-07T00:00:00,101.000,101.000
4500000119,00010,0001,2024-12-03T00:00:00,115.000,115.000
4500000120,00010,0001,2025-03-04T00:00:00,109.000,109.000
4500000121,00010,0001,2025-05-24T00:00:00,90.000,90.000
4500000122,00010,0001,2025-08-28T00:00:00,95.000,0.000
4500000123,00010,0001,2025-09-08T00:00:00,137.000,137.000
4500000124,00010,0001,2025-12-22T00:00:00,106.000,0.000
4500000125,00010,0001,2026-01-17T00:00:00,148.000,148.000
4500000126,00010,0001,2026-04-17T00:00:00,95.000,95.000
4500000127,00010,0001,2026-08-16T00:00:00,109.000,109.000
4500000128,00010,0001,2024-11-10T00:00:00,187.000,130.000
4500000129,00010,0001,2025-03-12T00:00:00,183.000,0.000
4500000130,00010,0001,2025-03-28T00:00:00,202.000,112.000
4500000131,00010,0001,2025-08-17T00:00:00,186.000,186.000
4500000132,00010,0001,2026-02-08T00:00:00,179.000,179.000
4500000133,00010,0001,2026-05-31T00:00:00,2.000,2.000
4500000134,00010,0001,2025-06-29T00:00:00,3.000,0.000
4500000135,00010,0001,2025-08-17T00:00:00,3.000,0.000
4500000136,00010,0001,2025-09-13T00:00:00,3.000,3.000
4500000137,00010,0001,2026-02-07T00:00:00,2.000,0.000
4500000138,00010,0001,2026-03-06T00:00:00,3.000,0.000
4500000139,00010,0001,2026-03-31T00:00:00,3.000,3.000
4500000140,00010,0001,2024-12-11T00:00:00,25.000,14.000
4500000141,00010,0001,2025-04-13T00:00:00,23.000,23.000
4500000142,00010,0001,2026-01-07T00:00:00,21.000,0.000
4500000143,00010,0001,2026-02-12T00:00:00,21.000,21.000
4500000144,00010,0001,2024-10-27T00:00:00,52.000,35.000
4500000145,00010,0001,2025-02-03T00:00:00,55.000,55.000
4500000146,00010,0001,2025-06-24T00:00:00,55.000,55.000
4500000147,00010,0001,2025-11-21T00:00:00,53.000,53.000
4500000148,00010,0001,2026-04-19T00:00:00,55.000,55.000
4500000149,00010,0001,2024-12-06T00:00:00,231.000,231.000
4500000150,00010,0001,2025-07-11T00:00:00,248.000,248.000
4500000151,00010,0001,2026-03-14T00:00:00,218.000,218.000
4500000152,00010,0001,2026-08-12T00:00:00,211.000,211.000
4500000153,00010,0001,2024-10-09T00:00:00,18.000,18.000
4500000154,00010,0001,2025-05-07T00:00:00,14.000,14.000
4500000155,00010,0001,2026-03-22T00:00:00,14.000,14.000
4500000156,00010,0001,2026-08-26T00:00:00,16.000,16.000
4500000157,00010,0001,2025-03-28T00:00:00,18.000,18.000
4500000158,00010,0001,2026-02-18T00:00:00,18.000,18.000
4500000159,00010,0001,2026-09-05T00:00:00,20.000,0.000
4500000160,00010,0001,2026-10-05T00:00:00,20.000,0.000
4500000161,00010,0001,2025-01-29T00:00:00,199.000,199.000
4500000162,00010,0001,2025-09-27T00:00:00,207.000,0.000
4500000163,00010,0001,2025-09-29T00:00:00,230.000,230.000
4500000164,00010,0001,2026-05-05T00:00:00,200.000,200.000
4500000165,00010,0001,2026-10-25T00:00:00,4.000,0.000
4500000166,00010,0001,2026-03-29T00:00:00,1.000,0.000
4500000167,00010,0001,2026-05-11T00:00:00,1.000,1.000
4500000168,00010,0001,2024-11-21T00:00:00,5.000,3.000
4500000169,00010,0001,2025-08-24T00:00:00,6.000,6.000
4500000170,00010,0001,2025-11-19T00:00:00,5.000,0.000
4500000171,00010,0001,2025-12-19T00:00:00,5.000,5.000
4500000172,00010,0001,2026-05-12T00:00:00,6.000,6.000
4500000173,00010,0001,2024-10-14T00:00:00,11.000,5.000
4500000174,00010,0001,2025-03-01T00:00:00,10.000,0.000
4500000175,00010,0001,2025-04-11T00:00:00,12.000,12.000
4500000176,00010,0001,2025-12-01T00:00:00,10.000,0.000
4500000177,00010,0001,2025-12-18T00:00:00,12.000,12.000
4500000178,00010,0001,2025-03-18T00:00:00,8.000,0.000
4500000179,00010,0001,2025-04-30T00:00:00,8.000,8.000
4500000180,00010,0001,2025-06-24T00:00:00,14.000,0.000
4500000181,00010,0001,2025-07-15T00:00:00,6.000,6.000
4500000182,00010,0001,2025-12-31T00:00:00,6.000,6.000
4500000183,00010,0001,2026-08-09T00:00:00,8.000,0.000
4500000184,00010,0001,2026-09-26T00:00:00,14.000,0.000
4500000185,00010,0001,2024-11-08T00:00:00,3.000,0.000
