Ebeln,Ebelp,Loekz,Txz01,Matnr,Werks,Lgort,Bednr,Menge,Meins,Netpr,Peinh,Netwr,Elikz,Pstyp,Knttp,Plifz,Banfn,Bnfpo
4500000000,00010,,SPARE FOR TH-401,000000000010000000,1000,SP01,,119.000,EA,55393.13,1.000,6591782.47,true,0,,58.000,2000000000,00010
4500000001,00010,,SPARE FOR PU-611,000000000010000000,1000,SP01,,139.000,EA,55393.13,1.000,7699645.07,true,0,,58.000,2000000001,00010
4500000002,00010,,SPARE FOR SC-701,000000000010000000,1000,SP01,,133.000,EA,55393.13,1.000,7367286.29,true,0,,58.000,2000000002,00010
4500000003,00010,,SPARE FOR FL-310,000000000010000000,1000,SP01,,131.000,EA,55393.13,1.000,7256500.03,true,0,,58.000,2000000003,00010
4500000004,00010,,SPARE FOR PU-610,000000000010000001,1000,SP01,,113.000,EA,12295.34,1.000,1389373.42,true,0,,33.000,2000000004,00010
4500000005,00010,,SPARE FOR FA-810,000000000010000001,1000,SP01,,107.000,EA,12295.34,1.000,1315601.38,false,0,,33.000,2000000005,00010
4500000006,00010,,SPARE FOR ML-201,000000000010000001,1000,SP01,,118.000,EA,12295.34,1.000,1450850.12,false,0,,33.000,2000000006,00010
4500000007,00010,,SPARE FOR TH-401,000000000010000001,1000,SP01,,115.000,EA,12295.34,1.000,1413964.10,false,0,,33.000,2000000007,00010
4500000008,00010,,SPARE FOR FL-310,000000000010000001,1000,SP01,,118.000,EA,12295.34,1.000,1450850.12,true,0,,33.000,2000000008,00010
4500000009,00010,,SPARE FOR ML-202,000000000010000001,2000,SP02,,103.000,EA,12295.34,1.000,1266420.02,true,0,,33.000,2000000009,00010
4500000010,00010,,SPARE FOR PU-611,000000000010000001,2000,SP02,,100.000,EA,12295.34,1.000,1229534.00,false,0,,33.000,2000000010,00010
4500000011,00010,,SPARE FOR FA-810,000000000010000001,2000,SP02,,92.000,EA,12295.34,1.000,1131171.28,true,0,,33.000,2000000011,00010
4500000012,00010,,SPARE FOR ML-201,000000000010000001,2000,SP02,,93.000,EA,12295.34,1.000,1143466.62,true,0,,33.000,2000000012,00010
4500000013,00010,,SPARE FOR CR-102,000000000010000001,2000,SP02,,101.000,EA,12295.34,1.000,1241829.34,true,0,,33.000,2000000013,00010
4500000014,00010,,SPARE FOR SC-701,000000000010000001,2000,SP02,,103.000,EA,12295.34,1.000,1266420.02,false,0,,33.000,2000000014,00010
4500000015,00010,,SPARE FOR ML-201,000000000080000000,3000,SP03,,11.000,EA,257886.17,1.000,2836747.87,false,0,,125.000,2000000015,00010
4500000016,00010,,SPARE FOR CV-502,000000000080000000,3000,SP03,,15.000,EA,257886.17,1.000,3868292.55,false,0,,125.000,2000000016,00010
4500000017,00010,,SPARE FOR CR-101,000000000080000000,3000,SP03,,15.000,EA,257886.17,1.000,3868292.55,true,0,,125.000,2000000017,00010
4500000018,00010,,SPARE FOR PU-611,000000000080000000,3000,SP03,,7.000,EA,257886.17,1.000,1805203.19,false,0,,125.000,2000000018,00010
4500000019,00010,,SPARE FOR TH-401,000000000080000000,3000,SP03,,11.000,EA,257886.17,1.000,2836747.87,false,0,,125.000,2000000019,00010
4500000020,00010,,SPARE FOR ML-201,000000000080000000,3000,SP03,,11.000,EA,257886.17,1.000,2836747.87,true,0,,125.000,2000000020,00010
4500000021,00010,,SPARE FOR ML-201,000000000010000002,4000,SP04,,4.000,EA,142046.35,1.000,568185.40,true,0,,17.000,2000000021,00010
4500000022,00010,,SPARE FOR SC-701,000000000010000002,4000,SP04,,5.000,EA,142046.35,1.000,710231.75,true,0,,17.000,2000000022,00010
4500000023,00010,,SPARE FOR CV-502,000000000010000002,4000,SP04,,4.000,EA,142046.35,1.000,568185.40,true,0,,17.000,2000000023,00010
4500000024,00010,,SPARE FOR SC-701,000000000010000002,4000,SP04,,4.000,EA,142046.35,1.000,568185.40,false,0,,17.000,2000000024,00010
4500000025,00010,,SPARE FOR CR-102,000000000010000002,4000,SP04,,7.000,EA,142046.35,1.000,994324.45,true,0,,17.000,2000000025,00010
4500000026,00010,,SPARE FOR PU-611,000000000010000002,4000,SP04,,6.000,EA,142046.35,1.000,852278.10,true,0,,17.000,2000000026,00010
4500000027,00010,,SPARE FOR CR-102,000000000010000002,4000,SP04,,5.000,EA,142046.35,1.000,710231.75,true,0,,17.000,2000000027,00010
4500000028,00010,,SPARE FOR CV-502,000000000010000002,2000,SP02,,5.000,EA,142046.35,1.000,710231.75,false,0,,17.000,2000000028,00010
4500000029,00010,,SPARE FOR ML-202,000000000010000002,2000,SP02,,9.000,EA,142046.35,1.000,1278417.15,true,0,,17.000,2000000029,00010
4500000030,00010,,SPARE FOR ML-201,000000000010000002,2000,SP02,,8.000,EA,142046.35,1.000,1136370.80,true,0,,17.000,2000000030,00010
4500000031,00010,,SPARE FOR PU-611,000000000010000002,2000,SP02,,5.000,EA,142046.35,1.000,710231.75,false,0,,17.000,2000000031,00010
4500000032,00010,,SPARE FOR SC-701,000000000010000002,2000,SP02,,5.000,EA,142046.35,1.000,710231.75,true,0,,17.000,2000000032,00010
4500000033,00010,,SPARE FOR CV-501,000000000010000002,2000,SP02,,9.000,EA,142046.35,1.000,1278417.15,true,0,,17.000,2000000033,00010
4500000034,00010,,SPARE FOR CR-102,000000000080000001,1000,SP01,,13.000,EA,69187.46,1.000,899436.98,false,0,,49.000,2000000034,00010
4500000035,00010,,SPARE FOR CV-501,000000000080000001,1000,SP01,,19.000,EA,69187.46,1.000,1314561.74,true,0,,49.000,2000000035,00010
4500000036,00010,,SPARE FOR PU-610,000000000080000001,1000,SP01,,13.000,EA,69187.46,1.000,899436.98,false,0,,49.000,2000000036,00010
4500000037,00010,,SPARE FOR ML-201,000000000080000001,1000,SP01,,14.000,EA,69187.46,1.000,968624.44,true,0,,49.000,2000000037,00010
4500000038,00010,,SPARE FOR CR-102,000000000080000001,1000,SP01,,16.000,EA,69187.46,1.000,1106999.36,true,0,,49.000,2000000038,00010
4500000039,00010,,SPARE FOR SC-701,000000000080000001,1000,SP01,,15.000,EA,69187.46,1.000,1037811.90,false,0,,49.000,2000000039,00010
4500000040,00010,,SPARE FOR CR-102,000000000080000001,4000,SP04,,10.000,EA,69187.46,1.000,691874.60,true,0,,49.000,2000000040,00010
4500000041,00010,,SPARE FOR CV-502,000000000080000001,4000,SP04,,7.000,EA,69187.46,1.000,484312.22,true,0,,49.000,2000000041,00010
4500000042,00010,,SPARE FOR PU-611,000000000080000001,4000,SP04,,6.000,EA,69187.46,1.000,415124.76,true,0,,49.000,2000000042,00010
4500000043,00010,,SPARE FOR FA-810,000000000080000001,4000,SP04,,8.000,EA,69187.46,1.000,553499.68,true,0,,49.000,2000000043,00010
4500000044,00010,,SPARE FOR FA-810,000000000080000001,4000,SP04,,8.000,EA,69187.46,1.000,553499.68,true,0,,49.000,2000000044,00010
4500000045,00010,,SPARE FOR ML-202,000000000010000004,3000,SP03,,100.000,EA,5644.70,1.000,564470.00,true,0,,19.000,2000000045,00010
4500000046,00010,,SPARE FOR CR-102,000000000010000004,3000,SP03,,105.000,EA,5644.70,1.000,592693.50,true,0,,19.000,2000000046,00010
4500000047,00010,,SPARE FOR FL-310,000000000010000004,3000,SP03,,116.000,EA,5644.70,1.000,654785.20,true,0,,19.000,2000000047,00010
4500000048,00010,,SPARE FOR ML-202,000000000010000004,3000,SP03,,91.000,EA,5644.70,1.000,513667.70,true,0,,19.000,2000000048,00010
4500000049,00010,,SPARE FOR TH-401,000000000010000004,3000,SP03,,108.000,EA,5644.70,1.000,609627.60,true,0,,19.000,2000000049,00010
4500000050,00010,,SPARE FOR FL-310,000000000010000004,3000,SP03,,113.000,EA,5644.70,1.000,637851.10,true,0,,19.000,2000000050,00010
4500000051,00010,,SPARE FOR ML-202,000000000010000004,3000,SP03,,100.000,EA,5644.70,1.000,564470.00,true,0,,19.000,2000000051,00010
4500000052,00010,,SPARE FOR ML-202,000000000010000004,3000,SP03,,101.000,EA,5644.70,1.000,570114.70,true,0,,19.000,2000000052,00010
4500000053,00010,,SPARE FOR CV-501,000000000010000005,1000,SP01,,189.000,EA,22740.06,1.000,4297871.34,false,0,,87.000,2000000053,00010
4500000054,00010,,SPARE FOR SC-701,000000000010000005,1000,SP01,,200.000,EA,22740.06,1.000,4548012.00,true,0,,87.000,2000000054,00010
4500000055,00010,,SPARE FOR CR-102,000000000010000005,1000,SP01,,169.000,EA,22740.06,1.000,3843070.14,true,0,,87.000,2000000055,00010
4500000056,00010,,SPARE FOR SC-701,000000000010000005,1000,SP01,,177.000,EA,22740.06,1.000,4024990.62,true,0,,87.000,2000000056,00010
4500000057,00010,,SPARE FOR CR-102,000000000010000005,1000,SP01,,181.000,EA,22740.06,1.000,4115950.86,false,0,,87.000,2000000057,00010
4500000058,00010,,SPARE FOR CR-101,000000000010000006,1000,SP01,,7.000,EA,278068.39,1.000,1946478.73,true,0,,208.000,2000000058,00010
4500000059,00010,,SPARE FOR PU-611,000000000010000006,1000,SP01,,7.000,EA,278068.39,1.000,1946478.73,true,0,,208.000,2000000059,00010
4500000060,00010,,SPARE FOR SC-701,000000000010000006,1000,SP01,,7.000,EA,278068.39,1.000,1946478.73,false,0,,208.000,2000000060,00010
4500000061,00010,,SPARE FOR CR-101,000000000010000007,3000,SP03,,15.000,EA,142516.10,1.000,2137741.50,false,0,,56.000,2000000061,00010
4500000062,00010,,SPARE FOR PU-610,000000000010000007,3000,SP03,,22.000,EA,142516.10,1.000,3135354.20,true,0,,56.000,2000000062,00010
4500000063,00010,,SPARE FOR FA-810,000000000010000007,3000,SP03,,15.000,EA,142516.10,1.000,2137741.50,true,0,,56.000,2000000063,00010
4500000064,00010,,SPARE FOR PU-611,000000000010000007,3000,SP03,,14.000,EA,142516.10,1.000,1995225.40,false,0,,56.000,2000000064,00010
4500000065,00010,,SPARE FOR PU-611,000000000010000007,3000,SP03,,16.000,EA,142516.10,1.000,2280257.60,true,0,,56.000,2000000065,00010
4500000066,00010,,SPARE FOR FA-810,000000000010000007,3000,SP03,,26.000,EA,142516.10,1.000,3705418.60,false,0,,56.000,2000000066,00010
4500000067,00010,,SPARE FOR TH-401,000000000010000008,4000,SP04,,17.000,EA,13713.10,1.000,233122.70,true,0,,199.000,2000000067,00010
4500000068,00010,,SPARE FOR CV-501,000000000010000008,4000,SP04,,18.000,EA,13713.10,1.000,246835.80,false,0,,199.000,2000000068,00010
4500000069,00010,,SPARE FOR CV-502,000000000010000008,4000,SP04,,21.000,EA,13713.10,1.000,287975.10,true,0,,199.000,2000000069,00010
