Ebeln,Bsart,Aedat,Lifnr,Ekorg,Ekgrp,Waers
4500000000,ZDOM,2024-11-06T00:00:00,0001000005,Z100,Z01,ZAR
4500000001,AN,2025-05-03T00:00:00,0001000005,Z100,Z03,ZAR
4500000002,AN,2025-11-20T00:00:00,0001000005,Z100,Z01,ZAR
4500000003,WK,2026-05-30T00:00:00,0001000005,Z100,Z03,ZAR
4500000004,AN,2024-11-04T00:00:00,0001000034,Z100,Z02,ZAR
4500000005,ZDOM,2025-05-03T00:00:00,0001000034,Z100,Z03,ZAR
4500000006,WK,2025-06-20T00:00:00,0001000034,Z100,Z02,ZAR
4500000007,ZDOM,2026-01-04T00:00:00,0001000034,Z100,Z02,ZAR
4500000008,WK,2026-02-08T00:00:00,0001000034,Z100,Z03,ZAR
4500000009,WK,2024-11-11T00:00:00,0001000034,Z100,Z03,ZAR
4500000010,WK,2025-04-17T00:00:00,0001000034,Z100,Z03,ZAR
4500000011,AN,2025-06-18T00:00:00,0001000034,Z100,Z02,ZAR
4500000012,WK,2025-11-18T00:00:00,0001000034,Z100,Z03,ZAR
4500000013,WK,2026-04-08T00:00:00,0001000034,Z100,Z01,ZAR
4500000014,AN,2026-09-07T00:00:00,0001000034,Z100,Z03,ZAR
4500000015,WK,2024-09-15T00:00:00,0001000044,Z100,Z03,ZAR
4500000016,AN,2024-10-23T00:00:00,0001000044,Z100,Z03,ZAR
4500000017,WK,2024-11-15T00:00:00,0001000044,Z100,Z03,ZAR
4500000018,WK,2025-05-17T00:00:00,0001000044,Z100,Z02,ZAR
4500000019,ZDOM,2025-08-12T00:00:00,0001000044,Z100,Z02,ZAR
4500000020,ZDOM,2025-09-11T00:00:00,0001000044,Z100,Z01,ZAR
4500000021,AN,2024-10-20T00:00:00,0001000003,Z100,Z02,ZAR
4500000022,AN,2025-02-12T00:00:00,0001000003,Z100,Z02,ZAR
4500000023,ZDOM,2025-04-09T00:00:00,0001000003,Z100,Z01,ZAR
4500000024,AN,2025-06-11T00:00:00,0001000003,Z100,Z03,ZAR
4500000025,WK,2025-07-25T00:00:00,0001000003,Z100,Z03,ZAR
4500000026,ZDOM,2026-02-05T00:00:00,0001000003,Z100,Z02,ZAR
4500000027,ZDOM,2026-04-01T00:00:00,0001000003,Z100,Z01,ZAR
4500000028,AN,2024-09-30T00:00:00,0001000003,Z100,Z03,ZAR
4500000029,AN,2024-11-04T00:00:00,0001000003,Z100,Z03,ZAR
4500000030,ZDOM,2025-01-05T00:00:00,0001000003,Z100,Z02,ZAR
4500000031,AN,2025-05-16T00:00:00,0001000003,Z100,Z03,ZAR
4500000032,AN,2025-08-26T00:00:00,0001000003,Z100,Z03,ZAR
4500000033,ZDOM,2026-05-10T00:00:00,0001000003,Z100,Z02,ZAR
4500000034,WK,2024-09-11T00:00:00,0001000016,Z100,Z03,ZAR
4500000035,AN,2024-10-31T00:00:00,0001000016,Z100,Z03,ZAR
4500000036,WK,2025-03-28T00:00:00,0001000016,Z100,Z01,ZAR
4500000037,ZDOM,2025-07-05T00:00:00,0001000016,Z100,Z03,ZAR
4500000038,WK,2025-11-03T00:00:00,0001000016,Z100,Z01,ZAR
4500000039,AN,2026-07-27T00:00:00,0001000016,Z100,Z02,ZAR
4500000040,WK,2024-09-14T00:00:00,0001000016,Z100,Z03,ZAR
4500000041,ZDOM,2025-02-20T00:00:00,0001000016,Z100,Z01,ZAR
4500000042,WK,2025-05-03T00:00:00,0001000016,Z100,Z01,ZAR
4500000043,AN,2025-09-05T00:00:00,0001000016,Z100,Z03,ZAR
4500000044,WK,2026-05-17T00:00:00,0001000016,Z100,Z03,ZAR
4500000045,ZDOM,2024-11-26T00:00:00,0001000050,Z100,Z02,ZAR
4500000046,AN,2025-02-28T00:00:00,0001000050,Z100,Z01,ZAR
4500000047,WK,2025-05-09T00:00:00,0001000050,Z100,Z01,ZAR
4500000048,AN,2025-07-14T00:00:00,0001000050,Z100,Z03,ZAR
4500000049,AN,2025-10-07T00:00:00,0001000050,Z100,Z03,ZAR
4500000050,WK,2026-01-15T00:00:00,0001000050,Z100,Z03,ZAR
4500000051,ZDOM,2026-03-21T00:00:00,0001000050,Z100,Z01,ZAR
4500000052,AN,2026-07-30T00:00:00,0001000050,Z100,Z02,ZAR
4500000053,ZDOM,2024-09-10T00:00:00,0001000050,Z100,Z02,ZAR
4500000054,AN,2024-10-29T00:00:00,0001000050,Z100,Z03,ZAR
4500000055,WK,2025-04-22T00:00:00,0001000050,Z100,Z02,ZAR
4500000056,AN,2025-10-22T00:00:00,0001000050,Z100,Z01,ZAR
4500000057,WK,2026-07-17T00:00:00,0001000050,Z100,Z01,ZAR
4500000058,WK,2024-12-15T00:00:00,0001000023,Z100,Z03,ZAR
4500000059,ZDOM,2025-12-06T00:00:00,0001000023,Z100,Z03,ZAR
4500000060,ZDOM,2026-08-10T00:00:00,0001000023,Z100,Z01,ZAR
4500000061,AN,2025-02-22T00:00:00,0001000043,Z100,Z01,ZAR
4500000062,WK,2025-03-06T00:00:00,0001000043,Z100,Z02,ZAR
4500000063,AN,2025-11-17T00:00:00,0001000043,Z100,Z01,ZAR
4500000064,ZDOM,2026-03-13T00:00:00,0001000043,Z100,Z01,ZAR
4500000065,WK,2026-04-28T00:00:00,0001000043,Z100,Z02,ZAR
4500000066,WK,2026-07-21T00:00:00,0001000043,Z100,Z02,ZAR
4500000067,ZDOM,2024-09-30T00:00:00,0001000025,Z100,Z02,ZAR
4500000068,ZDOM,2025-05-09T00:00:00,0001000025,Z100,Z01,ZAR
4500000069,ZDOM,2025-06-06T00:00:00,0001000025,Z100,Z03,ZAR
4500000070,AN,2026-01-19T00:00:00,0001000025,Z100,Z03,ZAR
4500000071,ZDOM,2024-10-05T00:00:00,0001000028,Z100,Z01,ZAR
4500000072,AN,2025-03-02T00:00:00,0001000028,Z100,Z02,ZAR
4500000073,ZDOM,2025-05-30T00:00:00,0001000028,Z100,Z02,ZAR
4500000074,AN,2026-04-26T00:00:00,0001000028,Z100,Z01,ZAR
4500000075,WK,2026-05-23T00:00:00,0001000028,Z100,Z03,ZAR
4500000076,AN,2024-09-08T00:00:00,0001000052,Z100,Z03,ZAR
4500000077,ZDOM,2024-11-09T00:00:00,0001000052,Z100,Z01,ZAR
4500000078,ZDOM,2026-01-04T00:00:00,0001000052,Z100,Z02,ZAR
4500000079,ZDOM,2026-04-28T00:00:00,0001000052,Z100,Z02,ZAR
4500000080,WK,2026-05-20T00:00:00,0001000052,Z100,Z02,ZAR
4500000081,AN,2024-10-09T00:00:00,0001000031,Z100,Z02,ZAR
4500000082,AN,2024-11-01T00:00:00,0001000031,Z100,Z01,ZAR
4500000083,AN,2024-11-18T00:00:00,0001000031,Z100,Z01,ZAR
4500000084,WK,2025-05-14T00:00:00,0001000031,Z100,Z01,ZAR
4500000085,ZDOM,2026-06-04T00:00:00,0001000031,Z100,Z02,ZAR
4500000086,WK,2024-12-09T00:00:00,0001000037,Z100,Z01,ZAR
4500000087,AN,2025-04-21T00:00:00,0001000037,Z100,Z01,ZAR
4500000088,AN,2025-07-27T00:00:00,0001000037,Z100,Z03,ZAR
4500000089,ZDOM,2025-11-10T00:00:00,0001000037,Z100,Z01,ZAR
4500000090,AN,2026-03-12T00:00:00,0001000037,Z100,Z02,ZAR
4500000091,WK,2026-08-30T00:00:00,0001000037,Z100,Z01,ZAR
4500000092,ZDOM,2025-08-30T00:00:00,0001000026,Z100,Z03,ZAR
4500000093,ZDOM,2025-10-24T00:00:00,0001000026,Z100,Z02,ZAR
4500000094,ZDOM,2025-11-15T00:00:00,0001000026,Z100,Z02,ZAR
4500000095,AN,2026-05-15T00:00:00,0001000026,Z100,Z02,ZAR
4500000096,AN,2026-07-18T00:00:00,0001000026,Z100,Z02,ZAR
4500000097,AN,2026-08-22T00:00:00,0001000026,Z100,Z02,ZAR
4500000098,WK,2024-10-16T00:00:00,0001000026,Z100,Z01,ZAR
4500000099,ZDOM,2025-03-09T00:00:00,0001000026,Z100,Z02,ZAR
4500000100,WK,2026-02-13T00:00:00,0001000026,Z100,Z01,ZAR
4500000101,ZDOM,2026-06-22T00:00:00,0001000026,Z100,Z03,ZAR
4500000102,AN,2026-07-16T00:00:00,0001000026,Z100,Z03,ZAR
4500000103,AN,2024-09-26T00:00:00,0001000038,Z100,Z01,ZAR
4500000104,AN,2025-01-06T00:00:00,0001000038,Z100,Z03,ZAR
4500000105,ZDOM,2025-10-21T00:00:00,0001000038,Z100,Z02,ZAR
4500000106,WK,2025-11-27T00:00:00,0001000038,Z100,Z02,ZAR
4500000107,WK,2025-12-20T00:00:00,0001000038,Z100,Z02,ZAR
4500000108,ZDOM,2026-02-04T00:00:00,0001000038,Z100,Z01,ZAR
4500000109,WK,2026-02-19T00:00:00,0001000038,Z100,Z01,ZAR
4500000110,WK,2026-06-06T00:00:00,0001000038,Z100,Z03,ZAR
4500000111,ZDOM,2024-10-01T00:00:00,0001000001,Z100,Z02,ZAR
4500000112,WK,2024-12-26T00:00:00,0001000001,Z100,Z03,ZAR
4500000113,ZDOM,2025-05-06T00:00:00,0001000001,Z100,Z03,ZAR
4500000114,WK,2025-09-09T00:00:00,0001000001,Z100,Z03,ZAR
4500000115,WK,2025-11-28T00:00:00,0001000001,Z100,Z01,ZAR
4500000116,ZDOM,2025-12-24T00:00:00,0001000001,Z100,Z03,ZAR
4500000117,WK,2026-04-23T00:00:00,0001000001,Z100,Z03,ZAR
