Banfn,Bnfpo,Bsart,Loekz,Statu,Frgkz,Frgzu,Ekgrp,Ernam,Afnam,Txz01,Matnr,Werks,Lgort,Bednr,Matkl,Reswk,Menge,Meins,Badat,Lfdat,Preis,Peinh,Flief,Ebeln,Ebelp,Bsmng,Ebakz,Rsnum
2000000000,00010,NB,,B,2,X,Z03,VZIREQ05,VZIREQ04,SPARE FOR TH-401,000000000010000000,1000,SP01,,MECH-BRG,,119.000,EA,2024-10-27T00:00:00,2024-12-24T00:00:00,55393.13,1.000,,4500000000,00010,119.000,true,
2000000001,00010,NB,,B,2,X,Z03,VZIREQ04,VZIREQ04,SPARE FOR PU-611,000000000010000000,1000,SP01,,MECH-BRG,,139.000,EA,2025-04-25T00:00:00,2025-06-22T00:00:00,55393.13,1.000,,4500000001,00010,139.000,true,
2000000002,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ04,SPARE FOR SC-701,000000000010000000,1000,SP01,,MECH-BRG,,133.000,EA,2025-11-12T00:00:00,2026-01-09T00:00:00,55393.13,1.000,,4500000002,00010,133.000,true,
2000000003,00010,NB,,B,2,X,Z01,VZIREQ01,VZIREQ04,SPARE FOR FL-310,000000000010000000,1000,SP01,,MECH-BRG,,131.000,EA,2026-05-29T00:00:00,2026-07-26T00:00:00,55393.13,1.000,,4500000003,00010,131.000,true,
2000000004,00010,NB,,B,2,X,Z03,VZIREQ01,VZIREQ01,SPARE FOR PU-610,000000000010000001,1000,SP01,,MILL-LINR,,113.000,EA,2024-10-27T00:00:00,2024-11-29T00:00:00,12295.34,1.000,,4500000004,00010,113.000,true,
2000000005,00010,NB,,B,2,X,Z02,VZIREQ01,VZIREQ05,SPARE FOR FA-810,000000000010000001,1000,SP01,,MILL-LINR,,107.000,EA,2025-05-02T00:00:00,2025-06-04T00:00:00,12295.34,1.000,,4500000005,00010,107.000,true,
2000000006,00010,NB,,B,2,X,Z03,VZIREQ05,VZIREQ03,SPARE FOR ML-201,000000000010000001,1000,SP01,,MILL-LINR,,118.000,EA,2025-06-18T00:00:00,2025-07-21T00:00:00,12295.34,1.000,,4500000006,00010,118.000,true,
2000000007,00010,NB,,B,2,X,Z03,VZIREQ02,VZIREQ01,SPARE FOR TH-401,000000000010000001,1000,SP01,,MILL-LINR,,115.000,EA,2025-12-23T00:00:00,2026-01-25T00:00:00,12295.34,1.000,,4500000007,00010,115.000,true,
2000000008,00010,NB,,B,2,X,Z03,VZIREQ03,VZIREQ02,SPARE FOR FL-310,000000000010000001,1000,SP01,,MILL-LINR,,118.000,EA,2026-01-30T00:00:00,2026-03-04T00:00:00,12295.34,1.000,,4500000008,00010,118.000,true,
2000000009,00010,NB,,B,2,X,Z03,VZIREQ03,VZIREQ03,SPARE FOR ML-202,000000000010000001,2000,SP02,,MILL-LINR,,103.000,EA,2024-11-10T00:00:00,2024-12-13T00:00:00,12295.34,1.000,,4500000009,00010,103.000,true,
2000000010,00010,NB,,B,2,X,Z03,VZIREQ05,VZIREQ03,SPARE FOR PU-611,000000000010000001,2000,SP02,,MILL-LINR,,100.000,EA,2025-04-09T00:00:00,2025-05-12T00:00:00,12295.34,1.000,,4500000010,00010,100.000,true,
2000000011,00010,NB,,B,2,X,Z02,VZIREQ04,VZIREQ04,SPARE FOR FA-810,000000000010000001,2000,SP02,,MILL-LINR,,92.000,EA,2025-06-06T00:00:00,2025-07-09T00:00:00,12295.34,1.000,,4500000011,00010,92.000,true,
