Rsnum,Rspos,Xloek,Kzear,Matnr,Werks,Lgort,Bdter,Bdmng,Meins,Enmng,Enwrt,Banfn,Bnfpo,Aufnr,Bwart,Umwrk,Umlgo,Wempf,Zzaisession
1000000000,0001,false,false,000000000030000000,4000,SP04,2026-02-21T00:00:00,2.000,EA,0.000,0.00,2000007762,00010,443349647,261,,,VZIREQ01,SESS-000001
1000000001,0001,false,true,000000000030000000,4000,SP04,2026-05-07T00:00:00,4.000,EA,3.000,372721.80,2000007763,00010,448335913,261,,,VZIREQ05,SESS-000002
1000000002,0001,false,false,000000000030000000,4000,SP04,2025-10-21T00:00:00,4.000,EA,0.000,0.00,2000007764,00010,449968340,261,,,VZIREQ02,SESS-000003
1000000003,0001,false,false,000000000030000000,1000,SP01,2026-05-22T00:00:00,3.000,EA,2.000,248481.20,2000007765,00010,412981819,261,,,VZIREQ02,SESS-000004
1000000004,0001,false,true,000000000030000001,1000,SP01,2026-02-26T00:00:00,2.000,EA,2.000,118408.74,2000007766,00010,411414982,261,,,VZIREQ04,SESS-000005
1000000005,0001,false,false,000000000030000001,1000,SP01,2025-12-17T00:00:00,3.000,EA,2.000,118408.74,2000007767,00010,412646257,261,,,VZIREQ02,SESS-000006
1000000006,0001,false,false,000000000030000002,3000,SP03,2025-12-14T00:00:00,4.000,EA,0.000,0.00,2000007768,00010,437583626,261,,,VZIREQ05,SESS-000007
1000000007,0001,false,false,000000000030000002,3000,SP03,2026-01-02T00:00:00,4.000,EA,2.000,48252.80,2000007769,00010,432956478,261,,,VZIREQ03,SESS-000008
1000000008,0001,false,true,000000000030000002,3000,SP03,2026-02-10T00:00:00,4.000,EA,2.000,48252.80,2000007770,00010,439272884,261,,,VZIREQ04,SESS-000009
1000000009,0001,false,false,000000000030000003,4000,SP04,2025-10-30T00:00:00,3.000,EA,0.000,0.00,2000007771,00010,448891716,261,,,VZIREQ03,SESS-000010
1000000010,0001,false,false,000000000030000003,1000,SP01,2026-03-22T00:00:00,4.000,EA,0.000,0.00,2000007772,00010,412941013,261,,,VZIREQ01,SESS-000011
1000000011,0001,false,false,000000000030000003,1000,SP01,2026-01-06T00:00:00,2.000,EA,0.000,0.00,2000007773,00010,419527811,261,,,VZIREQ01,SESS-000012
1000000012,0001,false,false,000000000030000003,1000,SP01,2026-05-27T00:00:00,1.000,EA,0.000,0.00,2000007774,00010,419052954,261,,,VZIREQ01,SESS-000013
1000000013,0001,false,false,000000000030000004,4000,SP04,2025-11-20T00:00:00,4.000,EA,2.000,238142.68,2000007775,00010,447429961,261,,,VZIREQ05,SESS-000014
1000000014,0001,false,false,000000000030000004,4000,SP04,2026-03-27T00:00:00,2.000,EA,0.000,0.00,2000007776,00010,441645905,261,,,VZIREQ02,SESS-000015
1000000015,0001,false,false,000000000030000004,4000,SP04,2026-05-01T00:00:00,3.000,EA,0.000,0.00,2000007777,00010,445093620,261,,,VZIREQ03,SESS-000016
1000000016,0001,false,false,000000000030000005,3000,SP03,2025-12-09T00:00:00,2.000,EA,0.000,0.00,2000007778,00010,435394474,261,,,VZIREQ01,SESS-000017
1000000017,0001,false,false,000000000030000005,3000,SP03,2026-05-28T00:00:00,1.000,EA,0.000,0.00,2000007779,00010,432341593,261,,,VZIREQ05,SESS-000018
1000000018,0001,false,false,000000000030000006,2000,SP02,2026-06-11T00:00:00,1.000,EA,0.000,0.00,2000007780,00010,421473447,261,,,VZIREQ03,SESS-000019
1000000019,0001,false,false,000000000030000007,1000,SP01,2026-03-21T00:00:00,3.000,EA,2.000,156162.08,2000007781,00010,419001978,261,,,VZIREQ02,SESS-000020
1000000020,0001,false,true,000000000030000007,1000,SP01,2026-03-23T00:00:00,2.000,EA,2.000,156162.08,2000007782,00010,418388416,261,,,VZIREQ05,SESS-000021
1000000021,0001,false,true,000000000030000007,1000,SP01,2025-08-30T00:00:00,1.000,EA,1.000,78081.04,2000007783,00010,414003632,261,,,VZIREQ03,SESS-000022
