Werks,Lgort,Matnr,Dispo,Mtart,Matkl,Dismm,Mbwbest,Wbwbest,Letztzug,Letztabg,Letztver,Letztbew,Eisbe
1000,SP01,000000000010000000,002,ERSA,MECH-BRG,VB,107.000,5927064.91,2026-08-17T00:00:00,2026-09-06T00:00:00,2026-09-06T00:00:00,2026-09-06T00:00:00,6.202
1000,SP01,000000000010000001,010,ERSA,MILL-LINR,VB,32.000,393450.88,2026-03-11T00:00:00,2026-08-12T00:00:00,2026-08-12T00:00:00,2026-08-12T00:00:00,2.532
2000,SP02,000000000010000001,009,ERSA,MILL-LINR,VB,26.000,319678.84,2026-05-07T00:00:00,2026-08-29T00:00:00,2026-08-29T00:00:00,2026-08-29T00:00:00,8.855
3000,SP03,000000000080000000,003,ERSA,MECH-SEAL,VB,12.000,3094634.04,2026-08-23T00:00:00,2026-06-30T00:00:00,2026-06-30T00:00:00,2026-08-23T00:00:00,5.882
4000,SP04,000000000010000002,002,ERSA,ELEC-CTRL,VB,6.000,852278.10,2026-04-15T00:00:00,2026-09-05T00:00:00,2026-09-05T00:00:00,2026-09-05T00:00:00,2.676
2000,SP02,000000000010000002,008,ERSA,ELEC-CTRL,VB,7.000,994324.45,2026-05-29T00:00:00,2026-09-06T00:00:00,2026-09-06T00:00:00,2026-09-06T00:00:00,3.902
4000,SP04,000000000030000000,009,HIBE,HYDR-ASSY,PD,6.000,745443.60,2026-06-21T00:00:00,2026-07-28T00:00:00,2026-07-28T00:00:00,2026-07-28T00:00:00,0.000
1000,SP01,000000000030000000,008,HIBE,HYDR-ASSY,ND,1.000,124240.60,2026-06-20T00:00:00,2026-06-30T00:00:00,2026-06-30T00:00:00,2026-06-30T00:00:00,0.000
1000,SP01,000000000010000003,001,ERSA,MECH-GBOX,VB,0.000,0.00,,2025-05-13T00:00:00,2025-05-13T00:00:00,2025-05-13T00:00:00,0.000
1000,SP01,000000000080000001,005,HIBE,INST-XMTR,VB,5.000,345937.30,2026-07-06T00:00:00,2026-07-20T00:00:00,2026-07-20T00:00:00,2026-07-20T00:00:00,4.563
4000,SP04,000000000080000001,005,HIBE,INST-XMTR,VB,11.000,761062.06,2026-07-20T00:00:00,2026-08-07T00:00:00,2026-08-07T00:00:00,2026-08-07T00:00:00,4.299
3000,SP03,000000000010000004,005,ERSA,MECH-GBOX,VB,93.000,524957.10,2026-08-17T00:00:00,2026-08-28T00:00:00,2026-08-28T00:00:00,2026-08-28T00:00:00,11.211
1000,SP01,000000000010000005,002,ERSA,HYDR-ASSY,VB,75.000,1705504.50,2026-02-19T00:00:00,2026-08-21T00:00:00,2026-08-21T00:00:00,2026-08-21T00:00:00,30.978
1000,SP01,000000000010000006,008,ERSA,INST-XMTR,VB,3.000,834205.17,2026-06-28T00:00:00,2026-08-02T00:00:00,2026-08-02T00:00:00,2026-08-02T00:00:00,1.845
1000,SP01,000000000030000001,008,HIBE,MILL-LINR,ND,1.000,59204.37,2026-02-27T00:00:00,2026-04-16T00:00:00,2026-04-16T00:00:00,2026-04-16T00:00:00,0.000
3000,SP03,000000000010000007,005,ERSA,INST-XMTR,VB,18.000,2565289.80,2026-07-11T00:00:00,2026-07-09T00:00:00,2026-07-09T00:00:00,2026-07-11T00:00:00,11.696
4000,SP04,000000000010000008,009,ERSA,ELEC-CTRL,VB,42.000,575950.20,2026-08-06T00:00:00,2026-07-03T00:00:00,2026-07-03T00:00:00,2026-08-06T00:00:00,12.583
3000,SP03,000000000080000002,006,ERSA,INST-XMTR,VB,5.000,1917403.45,2026-06-26T00:00:00,2026-07-25T00:00:00,2026-07-25T00:00:00,2026-07-25T00:00:00,3.241
4000,SP04,000000000080000003,007,HIBE,ELEC-MOTR,VB,25.000,1738074.25,2026-07-16T00:00:00,2026-07-05T00:00:00,2026-07-05T00:00:00,2026-07-16T00:00:00,6.395
3000,SP03,000000000010000009,001,ERSA,ELEC-MOTR,VB,4.000,323512.84,2025-11-06T00:00:00,2026-06-02T00:00:00,2026-06-02T00:00:00,2026-06-02T00:00:00,2.750
3000,SP03,000000000030000002,007,ERSA,MECH-GBOX,ND,6.000,144758.40,2026-02-13T00:00:00,2026-03-08T00:00:00,2026-03-08T00:00:00,2026-03-08T00:00:00,0.000
1000,SP01,000000000010000010,003,ERSA,CONV-COMP,VB,0.000,0.00,,2023-07-02T00:00:00,2023-07-02T00:00:00,2023-07-02T00:00:00,0.000
4000,SP04,000000000030000003,003,ERSA,HYDR-ASSY,ND,0.000,0.00,,,,,0.000
1000,SP01,000000000030000003,007,ERSA,HYDR-ASSY,PD,5.000,543366.00,2026-05-31T00:00:00,,,2026-05-31T00:00:00,0.000
4000,SP04,000000000010000011,006,ERSA,ELEC-CTRL,VB,32.000,354776.96,2026-03-23T00:00:00,2026-08-26T00:00:00,2026-08-26T00:00:00,2026-08-26T00:00:00,13.585
3000,SP03,000000000010000012,007,ERSA,MECH-SEAL,VB,1.000,11526.72,2026-06-26T00:00:00,2026-07-10T00:00:00,2026-07-10T00:00:00,2026-07-10T00:00:00,1.863
2000,SP02,000000000010000012,010,ERSA,MECH-SEAL,VB,9.000,103740.48,2026-09-06T00:00:00,2026-07-04T00:00:00,2026-07-04T00:00:00,2026-09-06T00:00:00,4.049
4000,SP04,000000000010000013,006,ERSA,MECH-PUMP,VB,5.000,332637.25,2026-07-07T00:00:00,2026-06-04T00:00:00,2026-06-04T00:00:00,2026-07-07T00:00:00,2.183
4000,SP04,000000000010000014,003,HIBE,MECH-BRG,VB,0.000,0.00,,2024-05-19T00:00:00,2024-05-19T00:00:00,2024-05-19T00:00:00,0.000
2000,SP02,000000000010000014,004,HIBE,MECH-BRG,VB,0.000,0.00,,2025-04-28T00:00:00,2025-04-28T00:00:00,2025-04-28T00:00:00,0.000
4000,SP04,000000000010000015,003,ERSA,CONV-COMP,VB,171.000,100703310.75,2026-09-03T00:00:00,2026-09-04T00:00:00,2026-09-04T00:00:00,2026-09-04T00:00:00,23.353
1000,SP01,000000000010000015,005,ERSA,CONV-COMP,VB,135.000,79502613.75,2026-08-16T00:00:00,2026-08-23T00:00:00,2026-08-23T00:00:00,2026-08-23T00:00:00,19.264
2000,SP02,000000000010000016,002,ERSA,INST-XMTR,VB,36.000,81997.20,2026-03-09T00:00:00,2026-08-09T00:00:00,2026-08-09T00:00:00,2026-08-09T00:00:00,11.605
2000,SP02,000000000010000017,004,HIBE,ELEC-MOTR,VB,0.000,0.00,,2022-11-02T00:00:00,2022-11-02T00:00:00,2022-11-02T00:00:00,0.000
2000,SP02,000000000010000018,003,ERSA,CONV-COMP,VB,6.000,78549.78,2026-06-09T00:00:00,2026-03-29T00:00:00,2026-03-29T00:00:00,2026-06-09T00:00:00,2.906
3000,SP03,000000000010000019,005,HIBE,MECH-BRG,VB,3.000,91233.30,2026-03-28T00:00:00,2026-02-16T00:00:00,2026-02-16T00:00:00,2026-03-28T00:00:00,1.119
3000,SP03,000000000010000020,007,ERSA,MECH-SEAL,VB,27.000,2278879.11,2026-02-09T00:00:00,2026-03-25T00:00:00,2026-03-25T00:00:00,2026-03-25T00:00:00,8.911
1000,SP01,000000000010000021,001,ERSA,MILL-LINR,VB,11.000,108271.02,2026-04-17T00:00:00,2026-09-03T00:00:00,2026-09-03T00:00:00,2026-09-03T00:00:00,2.466
4000,SP04,000000000090000000,003,ERSA,INST-XMTR,ND,11.000,537868.98,,2023-06-17T00:00:00,2023-06-17T00:00:00,2023-06-17T00:00:00,0.000
4000,SP04,000000000010000022,006,ERSA,MECH-SEAL,VB,205.000,828271.75,2026-08-09T00:00:00,2026-09-04T00:00:00,2026-09-04T00:00:00,2026-09-04T00:00:00,10.744
3000,SP03,000000000010000023,007,HIBE,INST-XMTR,VB,18.000,162159.66,2026-08-25T00:00:00,2026-07-24T00:00:00,2026-07-24T00:00:00,2026-08-25T00:00:00,3.508
2000,SP02,000000000080000004,002,ERSA,ELEC-MOTR,VB,21.000,9296434.77,2026-03-11T00:00:00,2026-07-18T00:00:00,2026-07-18T00:00:00,2026-07-18T00:00:00,16.362
2000,SP02,000000000010000024,009,ERSA,MECH-GBOX,VB,0.000,0.00,,2025-02-17T00:00:00,2025-02-17T00:00:00,2025-02-17T00:00:00,0.000
2000,SP02,000000000010000025,007,ERSA,INST-XMTR,VB,104.000,49870731.04,2026-05-04T00:00:00,2026-09-02T00:00:00,2026-09-02T00:00:00,2026-09-02T00:00:00,6.961
2000,SP02,000000000010000026,001,ERSA,HYDR-ASSY,VB,0.000,0.00,,2026-08-29T00:00:00,2026-08-29T00:00:00,2026-08-29T00:00:00,1.095
1000,SP01,000000000010000026,004,ERSA,HYDR-ASSY,VB,1.000,155061.15,2026-05-19T00:00:00,2026-02-03T00:00:00,2026-02-03T00:00:00,2026-05-19T00:00:00,0.301
4000,SP04,000000000080000005,006,ERSA,MECH-PUMP,VB,2.000,519266.62,2026-05-09T00:00:00,2026-08-03T00:00:00,2026-08-03T00:00:00,2026-08-03T00:00:00,1.243
2000,SP02,000000000080000005,003,ERSA,MECH-PUMP,VB,10.000,2596333.10,2025-12-17T00:00:00,2026-08-27T00:00:00,2026-08-27T00:00:00,2026-08-27T00:00:00,2.114
3000,SP03,000000000010000027,002,ERSA,INST-XMTR,VB,0.000,0.00,,2024-08-01T00:00:00,2024-08-01T00:00:00,2024-08-01T00:00:00,0.000
2000,SP02,000000000010000028,002,ERSA,INST-XMTR,VB,1.000,72346.01,2025-12-31T00:00:00,2026-07-28T00:00:00,2026-07-28T00:00:00,2026-07-28T00:00:00,6.469
4000,SP04,000000000010000028,008,ERSA,INST-XMTR,VB,9.000,651114.09,2026-08-24T00:00:00,2026-08-17T00:00:00,2026-08-17T00:00:00,2026-08-24T00:00:00,3.650
3000,SP03,000000000010000029,006,ERSA,MECH-SEAL,VB,26.000,11292596.64,2026-05-23T00:00:00,2026-08-04T00:00:00,2026-08-04T00:00:00,2026-08-04T00:00:00,4.468
2000,SP02,000000000010000029,005,ERSA,MECH-SEAL,VB,238.000,103370692.32,2026-07-29T00:00:00,2026-08-13T00:00:00,2026-08-13T00:00:00,2026-08-13T00:00:00,23.771
4000,SP04,000000000030000004,006,ERSA,HYDR-ASSY,ND,5.000,595356.70,2026-04-15T00:00:00,2026-01-02T00:00:00,2026-01-02T00:00:00,2026-04-15T00:00:00,0.000
4000,SP04,000000000010000030,002,ERSA,HYDR-ASSY,VB,64.000,561520.00,2026-07-16T00:00:00,2026-08-19T00:00:00,2026-08-19T00:00:00,2026-08-19T00:00:00,4.699
