Matnr,Werks,Lgort,Labst,Insme,Speme,Lgpbe
000000000010000000,1000,SP01,107.000,0.000,0.000,A-11-1
000000000010000001,1000,SP01,32.000,0.000,0.000,B-05-3
000000000010000001,2000,SP02,26.000,0.000,0.000,E-22-2
000000000080000000,3000,SP03,12.000,0.000,0.000,C-20-6
000000000010000002,4000,SP04,6.000,0.000,0.000,C-16-4
000000000010000002,2000,SP02,7.000,0.000,0.000,C-02-4
000000000030000000,4000,SP04,6.000,0.000,0.000,A-17-5
000000000030000000,1000,SP01,1.000,0.000,0.000,D-20-5
000000000010000003,1000,SP01,0.000,0.000,0.000,E-17-6
000000000080000001,1000,SP01,5.000,0.000,0.000,B-11-2
000000000080000001,4000,SP04,11.000,0.000,0.000,C-10-1
000000000010000004,3000,SP03,93.000,0.000,0.000,E-19-6
000000000010000005,1000,SP01,75.000,0.000,0.000,E-12-1
000000000010000006,1000,SP01,3.000,0.000,0.000,B-20-2
000000000030000001,1000,SP01,1.000,0.000,0.000,C-11-2
000000000010000007,3000,SP03,18.000,0.000,0.000,D-09-3
000000000010000008,4000,SP04,42.000,0.000,0.000,A-11-3
000000000080000002,3000,SP03,5.000,0.000,0.000,A-05-3
000000000080000003,4000,SP04,25.000,0.000,0.000,A-21-4
000000000010000009,3000,SP03,4.000,0.000,0.000,B-11-4
000000000030000002,3000,SP03,6.000,0.000,0.000,B-17-1
000000000010000010,1000,SP01,0.000,0.000,0.000,A-18-1
000000000030000003,4000,SP04,0.000,0.000,0.000,C-15-3
000000000030000003,1000,SP01,5.000,0.000,0.000,C-02-3
000000000010000011,4000,SP04,32.000,0.000,0.000,D-12-5
000000000010000012,3000,SP03,1.000,0.000,0.000,D-21-4
000000000010000012,2000,SP02,9.000,0.000,0.000,E-05-4
000000000010000013,4000,SP04,5.000,0.000,0.000,E-12-5
000000000010000014,4000,SP04,0.000,0.000,0.000,B-15-1
000000000010000014,2000,SP02,0.000,0.000,0.000,A-17-5
000000000010000015,4000,SP04,171.000,0.000,0.000,B-02-6
000000000010000015,1000,SP01,135.000,0.000,0.000,C-22-4
000000000010000016,2000,SP02,36.000,0.000,0.000,A-15-5
000000000010000017,2000,SP02,0.000,0.000,0.000,B-10-4
000000000010000018,2000,SP02,6.000,0.000,0.000,C-19-1
000000000010000019,3000,SP03,3.000,0.000,0.000,C-13-2
000000000010000020,3000,SP03,27.000,0.000,0.000,B-16-5
000000000010000021,1000,SP01,11.000,0.000,0.000,E-04-3
000000000090000000,4000,SP04,11.000,0.000,0.000,B-19-5
000000000010000022,4000,SP04,205.000,0.000,0.000,C-02-1
000000000010000023,3000,SP03,18.000,0.000,0.000,C-15-3
000000000080000004,2000,SP02,21.000,0.000,0.000,A-07-1
000000000010000024,2000,SP02,0.000,0.000,0.000,D-20-5
000000000010000025,2000,SP02,104.000,0.000,0.000,A-05-2
000000000010000026,2000,SP02,0.000,0.000,0.000,B-05-6
000000000010000026,1000,SP01,1.000,0.000,0.000,E-01-5
000000000080000005,4000,SP04,2.000,0.000,0.000,E-16-6
000000000080000005,2000,SP02,10.000,0.000,0.000,E-17-6
000000000010000027,3000,SP03,0.000,0.000,0.000,B-04-3
000000000010000028,2000,SP02,1.000,0.000,0.000,E-01-3
000000000010000028,4000,SP04,9.000,0.000,0.000,C-23-5
000000000010000029,3000,SP03,26.000,0.000,0.000,A-19-6
000000000010000029,2000,SP02,238.000,0.000,0.000,A-10-1
000000000030000004,4000,SP04,5.000,0.000,0.000,D-19-3
000000000010000030,4000,SP04,64.000,0.000,0.000,B-20-6
000000000010000031,3000,SP03,0.000,0.000,0.000,B-14-1
000000000010000032,4000,SP04,5.000,0.000,0.000,D-12-2
000000000010000033,1000,SP01,0.000,0.000,0.000,D-14-6
000000000010000034,1000,SP01,4.000,0.000,0.000,C-04-4
000000000080000006,2000,SP02,14.000,0.000,0.000,C-20-1
000000000010000035,1000,SP01,0.000,0.000,0.000,E-05-6
000000000010000036,3000,SP03,1.000,0.000,0.000,A-24-4
000000000010000036,2000,SP02,1.000,0.000,0.000,A-08-3
000000000010000037,1000,SP01,6.000,0.000,0.000,B-15-5
000000000090000001,1000,SP01,25.000,0.000,0.000,A-06-5
000000000010000038,3000,SP03,44.000,0.000,0.000,A-03-5
000000000080000007,1000,SP01,26.000,1.000,0.000,B-03-3
000000000010000039,2000,SP02,0.000,0.000,0.000,D-20-5
000000000030000005,3000,SP03,3.000,0.000,0.000,A-11-2
000000000010000040,1000,SP01,3.000,0.000,0.000,D-05-3
000000000010000041,4000,SP04,7.000,0.000,0.000,E-14-4
000000000010000042,1000,SP01,0.000,0.000,0.000,B-13-3
000000000030000006,2000,SP02,1.000,0.000,0.000,B-10-5
000000000080000008,4000,SP04,0.000,0.000,0.000,E-09-6
000000000080000009,1000,SP01,8.000,0.000,0.000,D-22-5
000000000080000009,4000,SP04,14.000,0.000,0.000,B-24-2
000000000080000010,3000,SP03,4.000,0.000,0.000,A-16-5
000000000030000007,1000,SP01,1.000,0.000,0.000,A-19-5
000000000030000008,3000,SP03,2.000,0.000,0.000,E-08-4
000000000010000043,1000,SP01,9.000,0.000,0.000,E-24-4
000000000010000043,4000,SP04,5.000,0.000,0.000,D-01-4
000000000010000044,3000,SP03,3.000,0.000,0.000,C-24-2
000000000010000045,4000,SP04,85.000,0.000,0.000,C-21-5
000000000080000011,2000,SP02,12.000,0.000,0.000,B-06-4
000000000080000012,3000,SP03,6.000,1.000,0.000,A-08-1
000000000010000046,2000,SP02,0.000,0.000,0.000,B-14-1
000000000010000047,1000,SP01,0.000,0.000,0.000,B-09-3
000000000010000047,4000,SP04,0.000,0.000,0.000,A-07-1
000000000010000048,4000,SP04,29.000,0.000,0.000,D-17-6
000000000080000013,3000,SP03,4.000,0.000,0.000,A-24-5
000000000010000049,3000,SP03,12.000,0.000,0.000,E-13-1
000000000010000049,1000,SP01,116.000,0.000,0.000,A-14-3
000000000010000050,2000,SP02,0.000,0.000,0.000,A-11-4
000000000010000050,4000,SP04,0.000,0.000,0.000,C-21-1
000000000010000051,2000,SP02,0.000,0.000,0.000,B-13-5
000000000010000052,3000,SP03,14.000,0.000,0.000,B-17-5
000000000010000053,1000,SP01,60.000,0.000,0.000,D-24-4
000000000010000054,1000,SP01,7.000,0.000,0.000,E-04-5
000000000010000055,3000,SP03,1.000,0.000,0.000,E-22-3
000000000010000056,3000,SP03,0.000,0.000,0.000,E-17-3
000000000010000056,2000,SP02,0.000,0.000,0.000,D-20-2
000000000010000057,1000,SP01,2.000,0.000,0.000,D-16-2
000000000010000058,4000,SP04,0.000,0.000,0.000,A-12-3
000000000010000059,3000,SP03,12.000,0.000,0.000,A-18-4
000000000030000009,3000,SP03,5.000,0.000,0.000,A-01-3
000000000010000060,2000,SP02,99.000,0.000,0.000,D-08-6
000000000010000060,4000,SP04,38.000,0.000,0.000,C-18-5
000000000010000061,3000,SP03,8.000,0.000,0.000,B-05-2
000000000010000062,3000,SP03,2.000,0.000,0.000,E-01-5
000000000030000010,4000,SP04,6.000,0.000,0.000,D-15-2
000000000030000011,1000,SP01,6.000,0.000,0.000,E-16-1
000000000030000011,3000,SP03,0.000,0.000,0.000,D-10-1
000000000010000063,3000,SP03,8.000,0.000,0.000,E-03-4
000000000010000064,2000,SP02,0.000,0.000,0.000,E-09-3
000000000010000065,4000,SP04,6.000,0.000,0.000,B-10-4
000000000080000014,4000,SP04,0.000,0.000,0.000,C-04-2
000000000010000066,3000,SP03,14.000,0.000,0.000,A-06-2
000000000010000066,4000,SP04,4.000,0.000,0.000,A-06-2
000000000010000067,3000,SP03,0.000,0.000,0.000,A-05-2
000000000080000015,3000,SP03,4.000,0.000,0.000,A-05-1
000000000080000016,1000,SP01,7.000,0.000,0.000,A-20-2
000000000080000016,2000,SP02,7.000,0.000,0.000,C-04-2
000000000010000068,2000,SP02,0.000,0.000,0.000,A-22-5
000000000010000069,4000,SP04,0.000,0.000,0.000,C-09-5
000000000010000070,2000,SP02,120.000,0.000,0.000,E-11-1
000000000010000071,3000,SP03,9.000,0.000,0.000,E-10-5
000000000090000002,2000,SP02,12.000,0.000,0.000,A-06-4
000000000010000072,4000,SP04,24.000,0.000,0.000,C-18-1
000000000080000017,2000,SP02,22.000,0.000,0.000,A-18-5
000000000080000017,3000,SP03,9.000,0.000,0.000,C-20-4
000000000010000073,3000,SP03,35.000,0.000,0.000,E-04-5
000000000010000074,1000,SP01,1.000,0.000,0.000,D-18-3
000000000030000012,3000,SP03,0.000,0.000,0.000,C-11-3
000000000010000075,2000,SP02,101.000,0.000,0.000,A-18-2
000000000010000075,1000,SP01,121.000,0.000,0.000,D-12-1
000000000010000076,2000,SP02,0.000,0.000,0.000,E-16-1
000000000010000077,2000,SP02,17.000,0.000,0.000,B-17-3
000000000010000078,3000,SP03,0.000,0.000,0.000,D-02-1
000000000010000079,1000,SP01,55.000,0.000,0.000,D-03-3
000000000010000080,2000,SP02,1.000,0.000,0.000,C-15-6
000000000010000081,1000,SP01,0.000,0.000,0.000,D-20-3
000000000010000081,3000,SP03,0.000,0.000,0.000,A-01-3
000000000080000018,4000,SP04,3.000,0.000,0.000,B-04-4
000000000080000018,3000,SP03,4.000,0.000,0.000,E-24-5
000000000080000019,2000,SP02,12.000,0.000,0.000,D-05-3
000000000030000013,2000,SP02,0.000,0.000,0.000,D-06-1
000000000010000082,3000,SP03,0.000,0.000,0.000,C-11-3
000000000030000014,4000,SP04,9.000,0.000,0.000,D-21-6
000000000030000014,1000,SP01,1.000,0.000,0.000,A-03-6
000000000010000083,3000,SP03,1.000,0.000,0.000,A-02-4
000000000010000084,4000,SP04,4.000,0.000,0.000,B-18-5
000000000010000084,2000,SP02,6.000,0.000,0.000,E-19-4
000000000010000085,1000,SP01,14.000,0.000,0.000,C-21-6
000000000010000085,3000,SP03,6.000,0.000,0.000,D-07-1
000000000080000020,3000,SP03,12.000,0.000,0.000,B-01-4
000000000080000020,1000,SP01,4.000,0.000,0.000,E-22-2
000000000010000086,4000,SP04,1.000,0.000,0.000,C-24-6
000000000010000086,2000,SP02,2.000,0.000,0.000,D-14-1
000000000010000087,4000,SP04,2.000,0.000,0.000,A-01-2
000000000030000015,3000,SP03,0.000,0.000,0.000,D-01-6
000000000010000088,4000,SP04,5.000,0.000,0.000,C-21-3
000000000080000021,2000,SP02,3.000,0.000,0.000,B-12-2
000000000080000021,3000,SP03,2.000,0.000,0.000,D-13-1
000000000080000022,3000,SP03,7.000,0.000,0.000,C-22-2
000000000080000023,3000,SP03,13.000,0.000,0.000,C-11-1
000000000010000089,1000,SP01,0.000,0.000,0.000,B-20-4
000000000010000090,4000,SP04,5.000,0.000,0.000,E-04-1
000000000010000091,4000,SP04,110.000,0.000,0.000,B-09-3
000000000010000092,1000,SP01,9.000,0.000,0.000,A-18-5
000000000010000093,1000,SP01,3.000,0.000,0.000,E-17-6
000000000010000094,2000,SP02,195.000,0.000,0.000,E-04-5
000000000030000016,3000,SP03,0.000,0.000,0.000,A-14-2
000000000030000016,1000,SP01,5.000,0.000,0.000,E-08-4
000000000010000095,4000,SP04,4.000,0.000,0.000,A-01-1
000000000010000096,2000,SP02,19.000,0.000,0.000,E-05-1
000000000010000097,4000,SP04,7.000,0.000,0.000,C-12-1
000000000030000017,3000,SP03,0.000,0.000,0.000,D-23-1
000000000010000098,1000,SP01,10.000,0.000,0.000,B-17-2
000000000010000099,2000,SP02,3.000,0.000,0.000,D-17-4
000000000010000099,4000,SP04,13.000,0.000,0.000,C-17-5
000000000010000100,4000,SP04,12.000,0.000,0.000,A-22-4
000000000090000003,2000,SP02,7.000,0.000,0.000,A-08-6
000000000090000003,3000,SP03,18.000,0.000,0.000,E-15-4
000000000010000101,4000,SP04,5.000,0.000,0.000,D-06-3
000000000030000018,4000,SP04,3.000,0.000,0.000,C-20-6
000000000010000102,1000,SP01,0.000,0.000,0.000,E-12-4
000000000080000024,2000,SP02,1.000,0.000,0.000,B-20-3
000000000010000103,2000,SP02,0.000,0.000,0.000,D-15-1
000000000030000019,1000,SP01,0.000,0.000,0.000,C-04-3
000000000030000019,3000,SP03,1.000,0.000,0.000,D-04-1
000000000010000104,3000,SP03,18.000,0.000,0.000,E-16-2
000000000010000104,2000,SP02,0.000,0.000,0.000,A-08-3
000000000010000105,4000,SP04,3.000,0.000,0.000,E-24-2
000000000010000106,3000,SP03,32.000,0.000,0.000,D-07-4
000000000010000107,4000,SP04,0.000,0.000,0.000,D-14-5
000000000010000108,1000,SP01,0.000,0.000,0.000,D-08-1
000000000010000109,4000,SP04,1.000,0.000,0.000,D-18-1
000000000080000025,3000,SP03,10.000,0.000,0.000,C-07-3
000000000080000025,4000,SP04,16.000,0.000,0.000,A-07-3
000000000010000110,2000,SP02,7.000,0.000,0.000,C-09-4
000000000030000020,2000,SP02,0.000,0.000,0.000,E-21-6
000000000010000111,3000,SP03,86.000,0.000,0.000,B-03-5
000000000010000112,1000,SP01,33.000,0.000,0.000,E-16-4
000000000010000113,3000,SP03,0.000,0.000,0.000,E-11-2
000000000010000114,4000,SP04,9.000,0.000,0.000,C-17-6
000000000010000115,4000,SP04,0.000,0.000,0.000,C-02-3
000000000010000116,2000,SP02,3.000,0.000,0.000,E-13-3
000000000010000116,3000,SP03,3.000,0.000,0.000,A-18-6
000000000030000021,1000,SP01,3.000,0.000,0.000,D-12-1
000000000030000021,4000,SP04,5.000,0.000,0.000,C-08-3
000000000010000117,1000,SP01,0.000,0.000,0.000,C-05-6
000000000010000118,4000,SP04,4.000,0.000,0.000,C-11-4
000000000010000119,1000,SP01,21.000,0.000,0.000,D-14-1
000000000010000120,1000,SP01,5.000,0.000,0.000,C-07-2
000000000010000120,4000,SP04,4.000,0.000,0.000,B-14-4
000000000030000022,4000,SP04,1.000,0.000,0.000,B-12-6
000000000030000022,1000,SP01,5.000,0.000,0.000,E-17-4
000000000090000004,4000,SP04,19.000,0.000,0.000,A-18-1
000000000010000121,4000,SP04,0.000,0.000,0.000,D-13-6
000000000010000122,3000,SP03,4.000,0.000,0.000,C-03-6
000000000010000123,1000,SP01,4.000,0.000,0.000,E-10-6
000000000010000124,3000,SP03,68.000,0.000,0.000,C-14-2
000000000080000026,3000,SP03,0.000,0.000,0.000,C-23-3
000000000080000026,2000,SP02,3.000,0.000,0.000,E-18-1
000000000010000125,4000,SP04,3.000,0.000,0.000,E-03-1
000000000080000027,1000,SP01,0.000,1.000,0.000,D-24-4
000000000010000126,1000,SP01,0.000,0.000,0.000,B-03-5
000000000010000127,3000,SP03,6.000,0.000,0.000,B-02-5
000000000010000127,1000,SP01,0.000,0.000,0.000,D-20-1
000000000010000128,4000,SP04,0.000,0.000,0.000,D-06-1
000000000010000129,4000,SP04,0.000,0.000,0.000,B-22-1
000000000010000130,2000,SP02,0.000,0.000,0.000,C-01-1
000000000010000131,1000,SP01,10.000,0.000,0.000,E-14-5
000000000010000132,2000,SP02,159.000,0.000,0.000,C-23-4
000000000010000132,1000,SP01,42.000,0.000,0.000,E-14-4
000000000010000133,3000,SP03,4.000,0.000,0.000,E-16-5
000000000010000134,2000,SP02,132.000,0.000,0.000,E-03-4
000000000010000135,3000,SP03,2.000,0.000,0.000,E-13-6
000000000010000135,2000,SP02,6.000,0.000,0.000,D-08-5
000000000010000136,1000,SP01,11.000,0.000,0.000,D-23-2
000000000090000005,1000,SP01,13.000,0.000,0.000,D-07-6
000000000010000137,3000,SP03,83.000,0.000,0.000,A-18-1
000000000010000138,2000,SP02,0.000,0.000,0.000,E-12-2
000000000080000028,1000,SP01,0.000,0.000,0.000,C-19-6
000000000080000029,4000,SP04,0.000,0.000,0.000,D-18-1
000000000010000139,1000,SP01,0.000,0.000,0.000,D-08-4
000000000010000140,4000,SP04,1.000,0.000,0.000,D-13-1
000000000010000141,4000,SP04,35.000,0.000,0.000,D-13-3
000000000080000030,1000,SP01,1.000,1.000,0.000,B-08-6
000000000010000142,1000,SP01,2.000,0.000,0.000,E-04-2
000000000010000143,1000,SP01,0.000,0.000,0.000,A-05-4
000000000010000144,2000,SP02,0.000,0.000,0.000,D-13-6
000000000010000145,1000,SP01,2.000,0.000,0.000,D-11-1
000000000080000031,1000,SP01,10.000,0.000,0.000,C-21-3
000000000010000146,4000,SP04,0.000,0.000,0.000,E-12-2
000000000010000146,1000,SP01,0.000,0.000,0.000,C-20-4
000000000010000147,2000,SP02,10.000,0.000,0.000,B-21-3
000000000030000023,1000,SP01,1.000,0.000,0.000,B-07-2
000000000010000148,4000,SP04,1.000,0.000,0.000,E-01-5
000000000010000149,4000,SP04,98.000,0.000,0.000,B-20-6
000000000080000032,1000,SP01,6.000,0.000,0.000,A-08-4
000000000010000150,1000,SP01,14.000,0.000,0.000,E-03-6
000000000010000151,3000,SP03,0.000,0.000,0.000,D-19-2
000000000010000152,1000,SP01,0.000,0.000,0.000,C-22-4
000000000010000153,2000,SP02,2.000,0.000,0.000,E-13-5
000000000080000033,4000,SP04,5.000,0.000,0.000,C-20-1
000000000010000154,1000,SP01,4.000,0.000,0.000,A-24-6
000000000010000155,3000,SP03,4.000,0.000,0.000,D-12-6
000000000010000156,4000,SP04,0.000,0.000,0.000,D-17-3
000000000010000156,3000,SP03,0.000,0.000,0.000,B-15-1
000000000080000034,1000,SP01,1.000,0.000,0.000,B-24-4
000000000010000157,2000,SP02,2.000,0.000,0.000,B-09-2
000000000010000157,3000,SP03,1.000,0.000,0.000,D-21-6
000000000030000024,1000,SP01,2.000,0.000,0.000,D-20-3
000000000080000035,4000,SP04,11.000,0.000,0.000,D-07-5
000000000080000035,2000,SP02,7.000,1.000,0.000,E-12-3
000000000010000158,2000,SP02,86.000,0.000,0.000,E-20-2
000000000010000159,2000,SP02,5.000,0.000,0.000,E-19-3
000000000010000160,1000,SP01,0.000,0.000,0.000,B-19-4
