Lifnr,Name1,Ktokk,Loevm
0001000000,Kalahari Rotating Equipment Service,ZSRV,false
0001000001,Springbok Bearings and Power Transm,ZDOM,false
0001000002,Prieska Industrial Supplies (Pty) L,ZDOM,false
0001000003,Kalahari Fluid Handling (Pty) Ltd,ZDOM,false
0001000004,Springbok Mechanical Repair Works (,ZSRV,false
0001000005,Prieska Industrial Supplies (Pty) L,ZDOM,false
0001000006,Karoo Process Equipment (Pty) Ltd,ZDOM,false
0001000007,Namaqua Process Equipment (Pty) Ltd,ZDOM,false
0001000008,Aggeneys Rotating Equipment Service,ZSRV,false
0001000009,Namaqua Mining Spares (Pty) Ltd,ZDOM,false
0001000010,Orange River Mining Spares (Pty) Lt,ZDOM,false
0001000011,Gariep Industrial Supplies (Pty) Lt,ZDOM,false
0001000012,Namaqua Hydraulic Service Centre (P,ZSRV,false
0001000013,Prieska Fluid Handling (Pty) Ltd,ZDOM,false
0001000014,Orange River Fluid Handling (Pty) L,ZDOM,false
0001000015,Gariep Process Equipment (Pty) Ltd,ZDOM,false
0001000016,Kalahari Rotating Equipment Service,ZSRV,false
0001000017,Orange River Mining Spares (Pty) Lt,ZDOM,false
0001000018,Karoo Industrial Supplies (Pty) Ltd,ZDOM,false
0001000019,Aggeneys Mining Spares (Pty) Ltd,ZDOM,false
0001000020,Namaqua Mechanical Repair Works (Pt,ZSRV,false
0001000021,Copperton Industrial Supplies (Pty),ZDOM,false
0001000022,Springbok Process Equipment (Pty) L,ZDOM,false
0001000023,Namaqua Fluid Handling (Pty) Ltd,ZDOM,false
0001000024,Springbok Hydraulic Service Centre ,ZSRV,false
0001000025,Springbok Industrial Supplies (Pty),ZDOM,false
0001000026,Karoo Mining Spares (Pty) Ltd,ZDOM,false
0001000027,Copperton Bearings and Power Transm,ZDOM,false
0001000028,Springbok Rewind Services (Pty) Ltd,ZSRV,false
0001000029,Cederberg Fluid Handling (Pty) Ltd,ZDOM,false
0001000030,Springbok Bearings and Power Transm,ZDOM,false
0001000031,Namaqua Process Equipment (Pty) Ltd,ZDOM,false
0001000032,Copperton Gearbox Refurbishment (Pt,ZSRV,false
0001000033,Aggeneys Bearings and Power Transmi,ZDOM,false
0001000034,Kalahari Industrial Supplies (Pty) ,ZDOM,false
0001000035,Aggeneys Bearings and Power Transmi,ZDOM,false
0001000036,Copperton Gearbox Refurbishment (Pt,ZSRV,false
0001000037,Copperton Fluid Handling (Pty) Ltd,ZDOM,false
0001000038,Namaqua Process Equipment (Pty) Ltd,ZDOM,false
0001000039,Orange River Industrial Supplies (P,ZDOM,false
0001000040,Namaqua Hydraulic Service Centre (P,ZSRV,false
0001000041,Orange River Mining Spares (Pty) Lt,ZDOM,false
0001000042,Cederberg Bearings and Power Transm,ZDOM,false
0001000043,Prieska Mining Spares (Pty) Ltd,ZDOM,false
0001000044,Orange River Hydraulic Service Cent,ZSRV,false
0001000045,Prieska Mining Spares (Pty) Ltd,ZDOM,false
0001000046,Gariep Bearings and Power Transmiss,ZDOM,false
0001000047,Prieska Process Equipment (Pty) Ltd,ZDOM,false
0001000048,Gariep Hydraulic Service Centre (Pt,ZSRV,false
0001000049,Gariep Industrial Supplies (Pty) Lt,ZDOM,false
0001000050,Springbok Mining Spares (Pty) Ltd,ZDOM,false
0001000051,Orange River Process Equipment (Pty,ZDOM,false
0001000052,Orange River Gearbox Refurbishment ,ZSRV,false
0001000053,Aggeneys Process Equipment (Pty) Lt,ZDOM,false
0001000054,Prieska Fluid Handling (Pty) Ltd,ZDOM,false
0001000055,Copperton Process Equipment (Pty) L,ZDOM,false
0001000056,Prieska Mechanical Repair Works (Pt,ZSRV,false
0001000057,Namaqua Bearings and Power Transmis,ZDOM,false
0001000058,Cederberg Mining Spares (Pty) Ltd,ZDOM,false
0001000059,Orange River Fluid Handling (Pty) L,ZDOM,false
