service,entity_set,property,type,nullable,is_key,maxlength,precision,scale,sap_filterable,sap_sortable,sap_label
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Banfn,Edm.String,false,K,10,,,false,false,Purchase Req.
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Bnfpo,Edm.String,false,K,5,,,false,false,Requisn Item
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Bsart,Edm.String,false,,4,,,false,false,Document Type
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Loekz,Edm.String,false,,1,,,false,false,Deletion Ind.
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Statu,Edm.String,false,,1,,,false,false,Processing stat
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Frgkz,Edm.String,false,,1,,,false,false,Release ind.
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Frgzu,Edm.String,false,,8,,,false,false,Release status
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Ekgrp,Edm.String,false,,3,,,false,false,Purch. Group
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Ernam,Edm.String,false,,12,,,false,false,Created by
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Afnam,Edm.String,false,,12,,,false,false,Requisitioner
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Txz01,Edm.String,false,,40,,,false,false,Short Text
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Matnr,Edm.String,false,,18,,,false,false,Material
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Werks,Edm.String,false,,4,,,false,false,Plant
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Lgort,Edm.String,false,,4,,,false,false,Stor. Location
ZVZI_KPI02_SHARED_SRV,PurchaseRequisitionSet,Bednr,Edm.String,false,,10,,,false,false,Tracking Number
